 ;;;;avui;;;;;;;;;14;;;;;;;;;GRUP;BANC;PAGAMENT;CATEGORIA;MENJAR;INGRES_GENERAL;INGRES_EXTRA;DESPESA_GENERAL;ASSEGURANÄA;GASOLINA;OP_BANC;FARMACIA;RESTAURANT;NETEJA;PERSONAL;VARIS;BUTA;PROVEIDOR;ROBA;REBOST;PARALLAR;MANTENIMENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;BANC;FORMA PAGAMENT;DATA;;;INGRêS;C∑RREC;;CATEGORIA;CONCEPTE;COMENTARI;;;;;;;;;;CÖrrec;TradeRep.;Efectiu;menjar;Action Girona;Abonament Ajuda Enric;Feina Foto;Aigua;Asseguranáa Cotxe;GasolinaAreaGuissona;Reintegre Caixer;FarmÖcia;Bar;Clarel;Jordi;Autopista;ButÖ reparto;Hofmann;Mango;Dia;IKEA mobles;Clarel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6803;;;;enero;1900;;;;;;;FALS;;;;;;;;;IngrÇs;BBVA;Däbit;ingres_general;Alcampo;Abonament Ajuda Isabel;Tiendeo;Crädit Cotxe;BBVA Asseg. Casa;Gasolina altres;Transferäncia;Cures;Restaurant;Aliexpress;Enric;Parking;ButÖ Gasolinera;Imprima;Zara;LIDL;Jysk;Aliexpress;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;op_banc;LaCaixa;VISA;ingres_extra;Aldi;Cartera DP Gran;Vinted;Endesa;DP Especialistes Mireia;;TraspÖs comptes;;;LeroyMerlin;Isa;Compres: varis;;Soloimprenta;Decatlon;Can Rinsa;Leroy Merlin;LeroyMerlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;BBVA;Compte;26/06/2026;junio;2026;;300,00 ?;op_banc;op_banc;TraspÖs comptes;;;;;;;;;;;;Efectiu;Compte;despesa_general;Altres menjar;Cartera DP Petit;Ingres Extra;Hipoteca;DP Morts Enric;;Embargament;;;Xino Sta.Coloma;;Dentista;;Miratge;Altre roba;AreaGuissona;Altres mobles;Xino Sta.Coloma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;LaCaixa;Compte;28/06/2026;junio;2026;;60,00 ?;op_banc;op_banc;TraspÖs comptes;;;;;;;;;;;;Casa;T.CorteInglÇs;asseguranáa;AreaGuissona;Complement Generalitat;Feina Horeca;Lowi;DP MP Mireia;;Gestions banc;;;Reparacions cotxe;;Expectacles/Teatre;;Exaprint;LIDL;Mercadona;Aldi;Reparacions cotxe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Efectiu;;23/06/2026;junio;2026;805,00 ?;;IngrÇs;ingres_extra;Feina Horeca;Cartes L'Olivera;;;;;;;;;;    ;T.CorteInglÇs;Bizum;gasolina;BonPreu;Hisenda 50 1;Promos;Piscina;Gestoria BBVA;;Pago VISA;;;Altres mant.;;Extra;;Trama;Action Girona;Carrefour;LIDL;Altres mant.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Casa;;26/06/2026;junio;2026;680,00 ?;;op_banc;op_banc;TraspÖs comptes;;;;;;;;;;;;T.Moneder;;op_banc;Can Rinsa;Hisenda 100;Casament;Targeta VISA;Imp. Circulaci¢ Palam¢s;;Amortitzaci¢;;;ITV Sant Celoni;;Impost;;Concord;El Corte InglÇs;BonPreu;MediaMarkt;ITV Sant Celoni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;TR Cartera;;farmacia;Carn Matilde;Hisenda 50 2;Devoluci¢ Hisenda;Ajunt. Arb£cies;Seguretat Social;;Pago ElCorteInglÇs;;;FeuVert;;Perruqueria;;SelfPrinting;Primark;Aldi;Action Girona;FeuVert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Moviments Despeses / Ingressos;;;;;;;;;;;;;T.Moneder;0;;;;;;;;restaurant;Carn. Arimany;IngrÇs Client;Xarrup Sou;Oncolliga;Ocaso;;Accions S&P500;;;IKEA mobles;;IngrÇs Casa;;Prolab;Sports Arb£cies;Novavenda;Aliexpress;IKEA mobles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;BBVA;-2157;;;; ;;;;neteja;Carrefour;Pensi¢ no contributiva;Ingres Extra;PJ Isabel;Agents Comercials;;Accions NVIDIA;;;Back Market;;Retirada casa;;Pixarprinting;Woman Secret;Action Girona;El Corte InglÇs;Back Market;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
