idNom;idProducte;supermercat;nom_super;similitud_minima;tipus;unitat;mesura
1;316;Dia;PATATES FREGIDES FOR;0.7;bossa;;1
2;2;Dia;IOGURT NATURAL DANON;0.7;envàs x4;;4
3;60;Dia;ALL UNITAT;0.7;;;
4;90;Dia;TOMAQUET D UNTAR;0.7;;kg;
5;318;Dia;TORRO XOCO LLET DULC;0.7;;;
6;111;Dia;LACON FUMAT NUESTRA;0.7;;;
7;61;Dia;ALVOCAT SAFATA;0.7;;kg;
8;83;Dia;PATATA BOSSA;0.7;;kg;
9;366;Dia;OLIVES VERDERONES VE;0.7;pot;kg;
10;92;Dia;BLAT DE MORO DOLÇ VE;0.7;launa x3;kg;
11;83;Dia;PATATAS FRIT.SARTEN;0.7;;kg;
12;105;Dia;FILET DE PORC MARIN.;0.7;;;
13;229;Dia;BEGUDA CIVADA CALCI;0.7;ampolla;litre;1
14;62;Dia;BROTS RENTATS DIA VE;0.7;bossa;kg;
15;404;Dia;BOMBONS ASSORTIMENT;0.7;bossa;kg;
16;404;Dia;BOMBONES SURTIDO DIA;0.7;bossa;kg;
17;38;Dia;BANANA;0.7;granel;kg;
18;324;Dia;ARROS RODO NOMEN;0.7;envàs;kg;1
19;197;Dia;PANETTONE XOCOLATA E;0.7;;;
20;368;Dia;XOCO LLET EXTR FI MI;0.7;;;
21;377;Dia;ESPARREC EXTRA FLASC;0.7;;;
22;7;Dia;FORMATG RATLL MOZZAR;0.7;;;
23;118;Dia;PERNIL CUIT 85% CARN;0.7;;;
24;114;Dia;LLONGANI EXT LLENQUE;0.7;;;
25;349;Dia;SUCRE BLANC DIA;0.7;;;
26;91;Dia;XAMPINYO SENCER;0.7;safata;kg;0,25
27;329;Dia;FARINA REPOSTERIA EL;0.7;;;
28;114;Dia;SALCHICHON EXTRA N.A;0.7;;;
29;118;Dia;JAMON COCID.DIA 180G;0.7;;;
30;368;Dia;CHOCO LECHE MILKA;0.7;;;
31;4;Dia;LLET DESNATADA BRICK;0.7;;;
32;253;Dia;GEL DE DUTXA CLASSIC;0.7;;;
33;318;Dia;TORRO LLET/PRETZEL D;0.7;;;
34;318;Dia;TURRO FRUITA SUPREME;0.7;;;
35;368;Dia;XOCO LLET EXTRA FI MI;0.7;;;
36;195;Dia;PA MAXI BURGER P4 MO;0.7;;;
37;318;Dia;TURRON FRUTA SUPREME;0.7;;;
38;4;Dia;LLET DEST ASTURIANA;0.7;;;
39;318;Dia;TURRON PRALINE LECHE;0.7;;;
40;368;Dia;XOCOLATA CARAMEL MIL;0.7;;;
41;368;Dia;CHOCO RELL MILKA 100;0.7;;;
42;90;Dia;TOMAQUET D UNTAR 250;0.7;;;
43;190;Dia;NEULA FARCIDA TORRO;0.7;;;
44;32;Dia;MANDARINA;0.7;;;
45;82;Dia;PASTANAGUES BOSSA;0.7;;;
46;404;Dia;BOMBONES SURTIDOS;0.7;bossa;kg;
47;340;Dia;PASTA FIDEU CABELLIN;0.7;;;
48;73;AreaGuissona;ENCIAM ICEBERG;0.7;;;
49;141;AreaGuissona;TAC DE PANXETA CURADA;0.7;;;
50;26;AreaGuissona;DATILS SENSE PINYOL;0.7;;;
51;415;AreaGuissona;FINISSIM PERNIL;0.7;;;
52;139;AreaGuissona;CARPACCIO DE MORRO;0.7;;;
53;96;AreaGuissona;BACO FUMAT;0.7;;;
54;368;AreaGuissona;XOCOLAT AMB L MILK;0.7;;;
55;8;AreaGuissona;GORGONZ DOP BALLAR CUÑ 1;0.7;;;
56;142;AreaGuissona;TORRE D;0.7;;;
57;315;AreaGuissona;PASTIS SANTIAGO MENAL 300GR;0.7;;;
58;408;AreaGuissona;FORMATG CHE E BONAR 300GR;0.7;;;
59;105;AreaGuissona;FILET DE PORC;0.7;;;
60;19;AreaGuissona;KÈFIR 500GR;0.7;;;
61;62;AreaGuissona;AMANIDA CAPRICCIO 0-1 K;0.7;;;
62;76;AreaGuissona;ESPINAC BOSSA 0.3 K;0.7;;;
63;137;AreaGuissona;LLONGANISSA PORC;0.7;;;
64;395;AreaGuissona;MELMELA NABIU TARR 350 GR;0.7;;;
65;56;AreaGuissona;COCTEL AMANIDES 100;0.7;;;
66;15;AreaGuissona;NATA PER CUINAR BONAREA;0.7;;;
67;307;AreaGuissona;PASTIS ESPIRAL NONAREA 200GR;0.7;;;
68;26;AreaGuissona;DATILS AMB PINYOL;0.7;;;
70;100;AreaGuissona;BOTIFARRA PORCIONADA;0.7;;;
71;76;AreaGuissona;ESPINACS BOSSA 0.3K;0.7;;;
72;110;AreaGuissona;BURGUER POLLASTRE;0.7;;;
73;104;AreaGuissona;COSTELLA A DAUS;0.7;;;
74;414;AreaGuissona;FORMATG ARZ D BONA 550G;0.7;;;
75;109;AreaGuissona;FUET EXTRA;0.7;;;
76;118;AreaGuissona;PERNIL CUIT FORN;0.7;;;
77;25;AreaGuissona;CARN D CODONY BONA 250G;0.7;;;
78;414;AreaGuissona;MOZZARE FRESC BONA BOL 1;0.7;;;
79;417;AreaGuissona;SOL AMB BOLETS I TOFONA 250G;0.7;;;
81;201;AreaGuissona;CREPES REFRIGERATS 405 G;0.7;;;
82;122;AreaGuissona;POLLASTRE NET GR;0.7;;;
83;5;AreaGuissona;CREMETT FIN H PREM 150GR;0.7;;;
84;58;AreaGuissona;PISTATXOS 100 G;0.7;;;
85;91;AreaGuissona;XAMPINYONS;0.7;;;
86;38;AreaGuissona;BANANA BOLSA;0.7;;;
87;419;AreaGuissona;SAFATA BROU;0.7;;;
88;189;AreaGuissona;MASSA DE P RODONA 230 G;0.7;;;
89;130;AreaGuissona;XISTORRA;0.7;;;
90;368;AreaGuissona;XOCOAVELLANA BONAREA 100 G;0.7;;;
91;420;AreaGuissona;MUSCLOS ESCA PICAN 14/18;0.7;;;
92;318;AreaGuissona;TORRO CRE T BONARE 300 G;0.7;;;
93;421;AreaGuissona;SECALLONA;0.7;;;
94;394;AreaGuissona;GALETES ASSOR TRIA 400 G;0.7;;;
95;361;AreaGuissona;ORENGA FULLA BONAREA 8 G;0.7;;;
96;124;AreaGuissona;SALAMI EXTRA;0.7;;;
97;119;AreaGuissona;DELICIES DE GALL D;0.7;;;
98;118;AreaGuissona;ESPATLLA DIETA;0.7;;;
99;148;AreaGuissona;1/2 PEUS POSTERIOR;0.7;;;
100;367;Dia;OLIVES NEGRES A/PINY;0.7;;;
101;1;Dia;LLET DESNATADA AMPOLLA;0.7;;;
102;92;Dia;BLAT DE MORO UN TOQU;0.7;;;
103;62;Dia;AMANIDA TENDRA DIA V;0.7;;;
104;13;Dia;MANTEGA SENSE SAL DI;0.7;;;
105;6;Dia;FORM GOUDA LLESQUES;0.7;;;
106;89;Dia;TOMAQUET CHERRY PERA;0.7;;;
107;92;Dia;MAIZ DULCE BONDUELLE;0.7;;;
108;6;Dia;QUESO GOUDA S.MUNDIA;0.7;;;
109;7;Dia;QUESO MOZZARELLA DIA;0.7;;;
110;118;Dia;JAMON COCIDO EXTRA N;0.7;;;
111;213;Dia;COCA-COLA LLAUNA;0.7;;;
112;307;Dia;ENSAIMADES DIA 220GR;0.7;;;
113;69;Dia;CEBETA FRANCESA;0.7;;;
114;317;Novavenda;PIPES GREFUSA TUJUANA 165;0.7;;;
115;3;Novavenda;DANONE AGRUPACIONS NATURAL 8 U;0.7;;;
116;169;Novavenda;TONYINA CUCA CLARA OLI OLIVA1/4;0.7;;;
117;269;Novavenda;PASTI ENCENFOCS YA 40 UN;0.7;;;
118;221;Novavenda;NESCAFE PACK ESTALVI 2 X 200G;0.7;;;
119;2;Novavenda;DANONE NAT.P4;0.7;;;
120;407;Novavenda;PASTA GALLO GALET NADAL OU 450G;0.7;;;
121;314;Novavenda;DELICIES TOFFEE LA LECHERA 2U;0.7;;;
122;316;Novavenda;PATATES GOURMET CLASSIQUES 150G;0.7;;;
123;368;Novavenda;XOCOLATA MILKA LLET 250G;0.7;;;
124;253;Novavenda;GEL BANY CIVADA ALIN/ALMA DE LINA 750ML;0.7;;;
125;8;Novavenda;FORM.GORGONZOLA CUNYA 100;0.7;;;
126;408;Novavenda;FORM. CATHEDRAL EXTRA MATURE 200G;0.7;;;
127;369;AreaGuissona;XOCOL E PUR AV 200 G;0.7;;;
128;216;Mercadona;INFUSIO DORMIR;0.7;;;
129;89;Mercadona;T.CHERRY PERA NEGRO;0.7;;;
130;12;Mercadona;BEBIDA ALMENDRAS 0%;0.7;;;
131;206;Mercadona;NEVAL 8L;0.7;;;
132;212;Mercadona;CERV PACK 12;0.7;;;
133;265;Mercadona;ROLLO COCINA GIGANTE;0.7;;;
134;416;Mercadona;PENNE RIGATE;0.7;;;
135;15;Mercadona;NATA PARA COCINAR;0.7;;;
136;3;Mercadona;YOGUR NATURAL;0.7;;;
137;349;Mercadona;AZUCAR;0.7;;;
138;351;Mercadona;CREMA VINAGRE BALSAM;0.7;;;
139;329;Mercadona;HARINA DE TRIGO;0.7;;;
140;344;Mercadona;SAL FINA;0.7;;;
141;395;Mercadona;MERMELADA HIGO;0.7;;;
142;28;Mercadona;HIGO SECO;0.7;;;
143;30;Mercadona;LIMON EXPRIMIDO;0.7;;;
144;1;Mercadona;LECHE DESNATADA P-6;0.7;;;
145;318;Mercadona;T.CHOCO ALMENDRA;0.7;;;
146;404;Mercadona;BOMBONES SENZZA;0.7;bossa;kg;
147;399;Mercadona;COPOS DE AVENA;0.7;;;
148;253;Mercadona;GEL VAINILLA;0.7;;;
149;318;Mercadona;TURRON PISTACHO;0.7;;;
150;352;Mercadona;CHIA;0.7;;;
151;188;Mercadona;TORTILLA MEXICANAS;0.7;;;
152;422;Mercadona;MOZZARELLA FRESCA;0.7;;;
153;334;Mercadona;LINO;0.7;;;
154;423;Mercadona;MEZCLA DE SEMILLAS;0.7;;;
155;307;Mercadona;MINI SALADAS;0.7;;;
156;33;Mercadona;MANGO DESHIDRATADO;0.7;;;
157;414;Mercadona;QUESO FRESCO VACA;0.7;;;
158;166;Mercadona;MEDIO SALMON;0.7;;;
159;283;Mercadona;200 SERVIL. BLANCAS;0.7;;;
160;386;Mercadona;TOMATE FRITO CASERO;0.7;;;
161;121;Mercadona;MUSLITO DE POLLO;0.7;;;
162;121;Mercadona;PECHUGUITA POLLO ASA;0.7;;;
163;400;Mercadona;POLLO RELLENO ASADO;0.7;;;
164;19;Mercadona;KEFIR;0.7;;;
165;88;Mercadona;TOMATE ROSA;0.7;;;
166;424;Mercadona;POLVORON GRANEL;0.7;;;
167;38;Mercadona;BANANA;0.7;;;
168;252;Clarel;FRIEGASU CONCENT MIO;0.7;;;
169;272;Clarel;GEL WC ACCIO TOTAL H;0.7;;;
170;284;Clarel;VINAGRE NETEJA MULTI;0.7;;;
171;256;Clarel;LLEIXIU AMPOLLA GROC;0.7;;;
172;246;Clarel;DET LIQ JABON MARSEL;0.7;;;
173;425;Clarel;MILLORS ENCEN SANDAL;0.7;;;
174;252;Clarel;ASEVI -50% 2ª UD;0.7;;;
175;276;Clarel;LAVAVA ULTRA CONCENT;0.7;;;
176;293;Clarel;MASCARA CAPIL. R&P;0.7;;;
177;293;Clarel;MASCARA CAPIL.CABELL;0.7;;;
178;258;Clarel;PEGATS ORO EXT.FIRM;0.7;;;
179;285;Clarel;XAMPU SUAU I LLIS PA;0.7;;;
180;285;Clarel;REPARA&PROTEGE XAMPU;0.7;;;
181;268;Clarel;PAPER HIGI 4 CAP SUA;0.7;;;
182;265;Clarel;ROTLLO CUINA ABSORCI;0.7;;;
183;281;Clarel;SUAVITZANT TALC ROSA;0.7;;;
184;237;Clarel;BICARBONAT DIRANZO 1;0.7;;;
185;248;Clarel;ESPONJA ACT DERM MAS;0.7;;;
186;395;Novavenda;CONFITURA PRESSEC BEBE 370G;0.7;;;
187;395;Novavenda;CONFITURA MADUIXA BEBE 370G;0.7;;;
188;28;AreaGuissona;FIGUES SEQUES;0.7;;;
189;269;AreaGuissona;PASTI E UNIF ESTOI;0.7;;;
190;426;AreaGuissona;PERNIL D'ANEC MARTIKO;0.7;;;
191;368;AreaGuissona;XOCOLAT AMB 15%;0.7;;;
192;194;AreaGuissona;PA DE V BONA PER T 120 G;0.7;;;
193;383;Dia;PINYA RODANXES SUC S;0.7;;;
194;15;Dia;NATA LIQ.CUINAR 18%;0.7;;;
195;428;Dia;CEBA TENDRA UNITAT;0.7;;;
196;384;Dia;SARDINA OLI OLIVA MA;0.7;;;
197;114;Dia;SALSITXO IBERIC NUES;0.7;;;
198;149;Dia;BACALLA ESMOLLAT SEL;0.7;;;
199;198;Dia;COCTEL DE PICS EL MO;0.7;;;
200;427;Dia;FIDEU Nº0 GALLO;0.7;;;
201;205;Dia;AIGUA MINERAL NATURA;0.7;;;
202;424;Dia;NADAL GRANEL ALT DUL;0.7;;;
203;424;Dia;NADAL GRANEL BAIX DU;0.7;;;
204;4;Dia;LECHE DESN. ASTURI 1L;0.7;;;
205;424;Dia;NAVIDAD GRANEL DIA;0.7;;;
206;1;Dia;10% LECHE ASTURIANA +6;0.7;;;
207;114;Dia;SALCHICHON IBER.DIA;0.7;;;
208;198;Dia;REGALO EL MOLINO DE DI;0.7;;;
209;185;Novavenda;BAGUETTE BELLSOLA 255G;0.7;;;
210;121;Dia;PIT DE POLLASTRE TEL;0.7;;;
211;42;Dia;TARONJA BOSSA;0.7;;;
212;283;Dia;TOVALLO SUAU 2C LA L;0.7;;;
213;9;Dia;IOGURT GRAC NATURAL;0.7;;;
214;145;AreaGuissona;GARRONS DE PERNIL;0.7;;;
215;117;AreaGuissona;FINISSIM MORTADELA;0.7;;;
216;146;AreaGuissona;CAP DE LLOM S/OS;0.7;;;
217;7;AreaGuissona;FORMATG FRE P BONAR 200G;0.7;;;
219;362;Novavenda;OLI GIRASOL MASIASOL 1L;0.7;;;
220;349;Novavenda;SUCRE BLANC SUCREBO BOSSA 1KG;0.7;;;
221;344;Novavenda;SAL GOURMET 1 KG;0.7;;;
222;430;Dia;LLONZA GALL DIN.ALL;0.7;;;
223;93;Dia;CALÇOT MANOLL;0.7;;;
224;62;Dia;SELECC.5 BROTS VEGEC;0.7;;;
225;188;Dia;TRUITA INTEGRAL AL P;0.7;;;
226;345;Dia;SALSA COLÇOTS FERRER;0.7;;;
227;307;Dia;NAPOLITANA MIXTA EL;0.7;;;
228;137;Dia;CHULETA PAVO AJIL DI;0.7;;;
229;188;Dia;TORTITAS INT Y TRIGO;0.7;;;
230;283;Dia;REGALO LA LLAMA;0.7;;;
231;187;AreaGuissona;PASTA EMPAN LA COC 160 G;0.7;;;
232;245;Clarel;DEO ESP .DERM.SENSITI;0.7;;;
233;245;Clarel;DESODOR DERMO SENSIT;0.7;;;
234;285;Clarel;XAMPU NUTRE I CUIDA;0.7;;;
235;285;Clarel;XAMPU MENTHOL H&S;0.7;;;
236;253;Clarel;GEL DUCHA ALOE VERA;0.7;;;
237;218;Clarel;GEL DUCHA CLASICO BO;0.7;;;
238;14;Novavenda;MATO CADI 250G;0.7;;;
239;431;Novavenda;NESCAFE PACK ESTALVI 2X200G;0.7;;;
240;394;Novavenda;NETS J. TRIAS TEULES CAPSA 400G;0.7;;;
241;65;Dia;CANONGES DIA BOSSA 1;0.7;;;
243;158;Dia;LLAGOSTI CUIT SELECC;0.7;;;
244;39;Dia;POMA GOLDEN BOSSA;0.7;;;
245;78;Dia;POLPA ADVOCAT DIA AL;0.7;;;
246;83;Dia;PATATA FREGIR PATATA;0.7;;;
