IdCompra;data;mes;any;super;familia;article;pes;quantitat;preuUnit;prom;totLinea;IdDespesa;descompte;rebost
36;12/09/2023;septiembre;2023;AreaGuissona;verdura;Cocktel amanida;0;1;1,11;0;1,11;2648;;
37;12/09/2023;septiembre;2023;AreaGuissona;extres;Aigua 0,50L;0;1;0,23;0;0,23;2648;;
38;12/09/2023;septiembre;2023;AreaGuissona;carn;Bar¢ proc f.;0;1;1,6;0;1,6;2648;;
39;12/09/2023;septiembre;2023;AreaGuissona;carn;Pollastre sencer;0;1;4,95;0;4,95;2648;;
40;12/09/2023;septiembre;2023;AreaGuissona;xocolata;Xocolata Llet;0;3;1;0;3;2648;;
41;12/09/2023;septiembre;2023;AreaGuissona;lactics;Formatge tall;0;1;1,59;0;1,59;2648;;
42;12/09/2023;septiembre;2023;AreaGuissona;fruita;Pl…tan;0;1;1,75;0;1,75;2648;;
7;14/09/2023;septiembre;2023;BonPreu;extres;Gelat;0;2;4,29;2,92;5,66;2650;;
8;14/09/2023;septiembre;2023;BonPreu;congelats;Pizza;0;4;3,79;7,8;7,36;2650;;
9;14/09/2023;septiembre;2023;BonPreu;begudes;Cervesa ll.;0;2;3,96;3,88;5;2650;;
10;14/09/2023;septiembre;2023;BonPreu;begudes;Cava;0;2;9,95;0;19,9;2650;;
11;14/09/2023;septiembre;2023;BonPreu;lactics;Llet 1,5l;0;1;1,31;0;1,31;2650;;
12;14/09/2023;septiembre;2023;BonPreu;lactics;Iogurt n. Danone;0;2;1;0;2;2650;;
13;14/09/2023;septiembre;2023;BonPreu;verdura;Esp…rrec;0;1;2,19;0;2,19;2650;;
14;14/09/2023;septiembre;2023;BonPreu;fruita;Poma;0;1;2,49;0;2,49;2650;;
15;14/09/2023;septiembre;2023;BonPreu;fruita;Fruits vermells;0;1;1,7;0;1,7;2650;;
16;14/09/2023;septiembre;2023;BonPreu;verdura;Amanida;0;2;1,19;0,72;1,66;2650;;
17;14/09/2023;septiembre;2023;BonPreu;b…sics;Sal;0;1;0,35;0;0,35;2650;2,79;
43;18/09/2023;septiembre;2023;El Corte Ingl‚s;begudes;Nescaf‚ ;0;1;6,65;0;6,65;2666;;
70;19/09/2023;septiembre;2023;dia;lactics;Llet 1,5l;0;2;1,78;0;3,56;2679;;
71;19/09/2023;septiembre;2023;dia;fruita;Pl…tan;609;1;1,21;0;1,21;2679;;
72;19/09/2023;septiembre;2023;dia;pa;Barra integral;0;1;0,65;0;0,65;2679;;
73;19/09/2023;septiembre;2023;dia;lactics;Iogurt n. Danone;0;1;1;0;1;2679;;
74;19/09/2023;septiembre;2023;dia;extres;Pipes Tijuana;0;1;1,79;0;1,79;2679;;
67;21/09/2023;septiembre;2023;dia;lactics;Iogurt n. Danone;0;1;1;0;1;2700;;
68;21/09/2023;septiembre;2023;dia;carn;Bar¢ proc f.;0;1;2,39;0,6;1,79;2700;;
69;21/09/2023;septiembre;2023;dia;pa;Baguet;0;1;0,54;0;0,54;2700;;
1;23/09/2023;septiembre;2023;BonPreu;begudes;Cervesa ll.;0;1;3,96;1,95;2,01;2694;;
2;23/09/2023;septiembre;2023;BonPreu;extres;Gelat;0;1;4,29;1,95;2,34;2694;;
3;23/09/2023;septiembre;2023;BonPreu;congelats;Pizza;0;2;3,79;1,94;5,64;2694;;
4;23/09/2023;septiembre;2023;BonPreu;carn;Foie Gras;270;1;4,45;0;4,45;2694;;
5;23/09/2023;septiembre;2023;BonPreu;carn;Butifarra blanca;72;1;1,22;0;1,22;2694;;
6;23/09/2023;septiembre;2023;BonPreu;lactics;Llet 1,5l;0;1;2,89;0;2,89;2694;;
18;23/09/2023;septiembre;2023;LIDL;begudes;Capsula CafŠ;0;1;3,55;0;3,55;2691;;
19;23/09/2023;septiembre;2023;LIDL;neteja;Desodorant;0;2;0,79;0;1,58;2691;;
20;23/09/2023;septiembre;2023;LIDL;lactics;Formatge tall;0;1;3,39;0;3,39;2691;;
21;23/09/2023;septiembre;2023;LIDL;lactics;Formatge tall;0;1;2,59;0;2,59;2691;;
22;23/09/2023;septiembre;2023;LIDL;carn;Mortadela ;0;1;1,75;0;1,75;2691;;
23;23/09/2023;septiembre;2023;LIDL;verdura;Cocktel amanida;0;1;2,25;0;2,25;2691;;
24;23/09/2023;septiembre;2023;LIDL;pa;Picos;0;1;0,82;0;0,82;2691;;
25;23/09/2023;septiembre;2023;LIDL;carn;Llonganisa;0;1;3,79;0;3,79;2691;;
26;23/09/2023;septiembre;2023;LIDL;pa;Hojaldre;0;1;0,99;0;0,99;2691;;
27;23/09/2023;septiembre;2023;LIDL;verdura;Amanida;0;1;1,25;0;1,25;2691;;
28;23/09/2023;septiembre;2023;LIDL;verdura;Enciam;0;1;0,99;0;0,99;2691;;
29;23/09/2023;septiembre;2023;LIDL;carn;Butifarra blanca;0;1;2,75;0;2,75;2691;;
30;23/09/2023;septiembre;2023;LIDL;carn;Butifarra negra;0;1;2,75;0;2,75;2691;;
31;23/09/2023;septiembre;2023;LIDL;carn;Lac¢n fumat;0;1;1,79;0;1,79;2691;;
32;23/09/2023;septiembre;2023;LIDL;carn;Butifarra blanca;0;1;1,85;0;1,85;2691;;
33;23/09/2023;septiembre;2023;LIDL;xocolata;Xocolata Llet;0;2;1,09;0;2,18;2691;;
34;23/09/2023;septiembre;2023;LIDL;oli;Olives negres;0;1;1,69;0,51;1,18;2691;;
35;23/09/2023;septiembre;2023;LIDL;lactics;Formatge tall;varis;1;10,05;0;10,05;2691;;
44;23/09/2023;septiembre;2023;Aldi;lactics;Formatge tall;0;1;3,79;0;3,79;2692;;
45;23/09/2023;septiembre;2023;Aldi;lactics;Formatge tall;450;1;4,29;1,29;3;2692;;
46;23/09/2023;septiembre;2023;Aldi;esmorzar;Crackers;0;1;1,39;0;1,39;2692;;
47;23/09/2023;septiembre;2023;Aldi;begudes;T‚ jengibre;0;1;1,59;0;1,59;2692;;
48;23/09/2023;septiembre;2023;mercadona;carn;Cap porc t•fona;0;1;2,19;0;2,19;2690;;
49;23/09/2023;septiembre;2023;mercadona;begudes;Aigua 0,50L;0;1;0,25;0;0,25;2690;;
50;23/09/2023;septiembre;2023;mercadona;oli;Olives verdes;0;1;3;0;3;2690;;
51;23/09/2023;septiembre;2023;mercadona;begudes;Llimonada 1,5L;0;1;1,5;0;1,5;2690;;
52;23/09/2023;septiembre;2023;mercadona;begudes;Aigua 1,50L;0;1;0,87;0;0,87;2690;;
53;23/09/2023;septiembre;2023;mercadona;verdura;Amanida;0;2;1,25;0;2,5;2690;;
54;23/09/2023;septiembre;2023;mercadona;fruita;D…tils;0;1;2,2;0;2,2;2690;;
55;23/09/2023;septiembre;2023;mercadona;fruita;Ra‹m Blanc;0;1;2,39;0;2,39;2690;;
56;23/09/2023;septiembre;2023;mercadona;verdura;Xampiny¢;0;1;1,19;0;1,19;2690;;
57;23/09/2023;septiembre;2023;mercadona;lactics;Crema Llet avellana;0;1;2,9;0;2,9;2690;;
58;23/09/2023;septiembre;2023;mercadona;extres;Patates bossa;0;1;1,5;0;1,5;2690;;
59;23/09/2023;septiembre;2023;mercadona;xocolata;Xocolata Llet;0;1;1;0;1;2690;;
63;24/09/2023;septiembre;2023;dia;fruita;Pl…tan;603;1;0,84;0;0,84;2701;;
64;24/09/2023;septiembre;2023;dia;verdura;Tom…quet p…;250;1;1,49;0;1,49;2701;;
65;24/09/2023;septiembre;2023;dia;lactics;Iogurt n. Danone;0;1;1;0;1;2701;;
66;24/09/2023;septiembre;2023;dia;verdura;Patata;0;1;2,79;0;2,79;2701;;
60;27/09/2023;septiembre;2023;dia;xocolata;Xocolata Llet;0;3;1,39;1,39;2,78;2705;;
61;27/09/2023;septiembre;2023;dia;lactics;Iogurt n. Danone;0;2;1;0;2;2705;;
62;27/09/2023;septiembre;2023;dia;fruita;Pl…tan;990;1;1,1;0;1,1;2705;;
88;29/09/2023;septiembre;2023;AreaGuissona;extres;Muesli 500gr.;0;1;1,99;0;1,99;2717;;
89;29/09/2023;septiembre;2023;AreaGuissona;pa;P… Burguer;0;1;1;0;1;2717;;
90;29/09/2023;septiembre;2023;AreaGuissona;verdura;Cocktel amanida;0;1;0,95;0;0,95;2717;;
91;29/09/2023;septiembre;2023;AreaGuissona;fruita;Panses;0;1;0,91;0;0,91;2717;;
92;29/09/2023;septiembre;2023;AreaGuissona;lactics;Iogurt BonArea;0;1;0,99;0;0,99;2717;;
93;29/09/2023;septiembre;2023;AreaGuissona;xocolata;Xocolata Llet;0;3;1;0;3;2717;;
96;29/09/2023;septiembre;2023;Xarcut. La taverna;carn;Tot junt;0;1;15,18;0;15,18;2718;;
94;30/09/2023;septiembre;2023;Clarel;neteja;Xamp£ Kerat¡n;0;2;9,09;4,55;13,63;2708;;
95;30/09/2023;septiembre;2023;Clarel;neteja;Tint roba;0;1;3,49;0;3,49;2708;2,71;
75;01/10/2023;octubre;2023;dia;extres;Pipes Tijuana;0;1;1,79;0;1,79;2715;;
76;01/10/2023;octubre;2023;dia;pa;Baguet;0;1;0,54;0;0,54;2715;;
77;01/10/2023;octubre;2023;BonPreu;begudes;Cervesa ll.;0;12;0,83;7,92;2,04;2709;;
78;01/10/2023;octubre;2023;BonPreu;llaunes;tomate freg.;0;1;2,59;0;2,59;2709;;
79;01/10/2023;octubre;2023;BonPreu;llaunes;tonyina;0;1;3,5;0;3,5;2709;;
80;01/10/2023;octubre;2023;BonPreu;b…sics;Arr•s;0;1;1,82;0;1,82;2709;;
81;01/10/2023;octubre;2023;BonPreu;peix;Orada;0;1;6,58;0;6,58;2709;;
82;01/10/2023;octubre;2023;BonPreu;peix;Gall;538;1;5,37;0;5,37;2709;;
83;01/10/2023;octubre;2023;BonPreu;fruita;Fruits vermells;0;2;1,7;0;3,4;2709;;
84;01/10/2023;octubre;2023;BonPreu;lactics;Llet 1,5l;0;6;1,31;0;7,86;2709;;
85;01/10/2023;octubre;2023;BonPreu;begudes;Cocacola 0 ll.;0;8;0,85;0;6,8;2709;;
86;01/10/2023;octubre;2023;BonPreu;lactics;Iogurt n. Danone;0;2;1;0;2;2709;;
87;01/10/2023;octubre;2023;BonPreu;xocolata;Xocolata Llet;0;4;1,12;1,12;3,36;2709;5;
97;01/10/2023;octubre;2023;Fruiteria Deepak;verdura;Tot junt;0;1;1,97;0;1,97;2719;;
98;01/10/2023;octubre;2023;Pla‡a;verdura;Tot junt;0;1;5;0;5;2720;;
99;02/10/2023;octubre;2023;Fruiteria Bayes;verdura;Tot junt;0;1;4;0;4;2721;;
100;02/10/2023;octubre;2023;Dia;pa;Baguet;0;1;0,54;0;0,54;2726;;
101;02/10/2023;octubre;2023;Dia;neteja;Bossa escomb.;0;1;0,17;0;0,17;2726;;
102;02/10/2023;octubre;2023;Dia;lactics;Nata liq.;0;1;1,95;0;1,95;2726;;
103;02/10/2023;octubre;2023;Dia;fruita;Orellanes;0;1;2,69;0;2,69;2726;;
104;02/10/2023;octubre;2023;Dia;fruita;Pl…tan;575;1;0,64;0;0,64;2726;;
105;02/10/2023;octubre;2023;Dia;verdura;Xampiny¢;0;1;0,99;0;0,99;2726;;
106;02/10/2023;octubre;2023;Dia;fruita;Pera;0;1;0,99;0;0,99;2726;;
107;02/10/2023;octubre;2023;Dia;b…sics;Sal;0;1;0,3;0;0,3;2726;;
108;02/10/2023;octubre;2023;Dia;carn;Pit pollastre;0;2;1,99;1,39;2,59;2726;;
109;02/10/2023;octubre;2023;Dia;fruita;Ametlla;0;1;2,89;0;2,89;2726;;
110;02/10/2023;octubre;2023;Dia;extres;Pipes Tijuana;0;1;1,79;0;1,79;2726;;
111;02/10/2023;octubre;2023;Dia;extres;Patates bossa;0;1;1,29;0;1,29;2726;;
112;03/10/2023;octubre;2023;Dia;lactics;Llet 1,5l;ANULAT;1;0;0;0;0;;
113;03/10/2023;octubre;2023;Dia;lactics;Llet 1,5l;ANULAT;1;0;0;0;0;;
117;03/10/2023;octubre;2023;Pa i pastisseria;pa;P… rod¢;0;1;1,8;0;1,8;2729;;
114;04/10/2023;octubre;2023;AreaGuissona;xocolata;Xocolata Llet;0;2;1;0;2;2727;;
115;04/10/2023;octubre;2023;AreaGuissona;lactics;Iogurt BonArea;0;1;0,99;0;0,99;2727;;
116;04/10/2023;octubre;2023;AreaGuissona;fruita;Pl…tan;0;1;1,43;0;1,43;2727;;
118;04/10/2023;octubre;2023;Veh¡ Moro;verdura;Tot junt;0;1;13;0;13;2730;;
119;04/10/2023;octubre;2023;Veh¡ Moro;b…sics;Mel;0;1;9;0;9;2730;;
120;04/10/2023;octubre;2023;Fruiteria Deepak;verdura;Patata;0;1;2,9;0;2,9;2731;;
121;05/10/2023;octubre;2023;LIDL;neteja;Rentaplats;0;2;0,89;0;1,78;2737;;
122;05/10/2023;octubre;2023;LIDL;begudes;Capsula CafŠ;0;1;3,49;0;3,49;2737;;
123;05/10/2023;octubre;2023;LIDL;neteja;Tovallons;0;1;1,25;0;1,25;2737;;
124;05/10/2023;octubre;2023;LIDL;extres;Muesli 500gr.;0;2;2,39;0;4,78;2737;;
125;05/10/2023;octubre;2023;Carrefour;neteja;Xamp£;0;1;3,75;0;3,75;2738;;
126;05/10/2023;octubre;2023;Carrefour;xocolata;Xocolata Llet;0;2;1,13;0;2,26;2738;;
127;05/10/2023;octubre;2023;Carrefour;extres;Pipes Tijuana;grans;1;2,3;0;2,3;2738;;
128;05/10/2023;octubre;2023;Carrefour;lactics;Formatge Llesq.;Edam;1;1,35;0;1,35;2738;;
135;05/10/2023;octubre;2023;Fruiteria Deepak;verdura;Tot junt;0;1;2,98;0;2,98;2745;;
129;06/10/2023;octubre;2023;Dia;extres;Bolleria;0;1;0,75;0;0,75;2746;;
130;06/10/2023;octubre;2023;Dia;lactics;Iogurt n. Danone;0;2;1;0;2;2746;;
131;06/10/2023;octubre;2023;Dia;b…sics;Sucre;0;1;1,45;0;1,45;2746;;
132;06/10/2023;octubre;2023;Dia;xocolata;Xocolata Llet;0;1;3,59;0;3,59;2746;;
133;06/10/2023;octubre;2023;Dia;lactics;Formatge Llesq.;havarti;1;2,49;0,62;1,87;2746;;
134;06/10/2023;octubre;2023;Dia;fruita;Pl…tan;1145;1;1,71;0;1,71;2746;;
136;07/10/2023;octubre;2023;AreaGuissona;b…sics;Empanadilla;0;1;1,1;0;1,1;2747;;
137;07/10/2023;octubre;2023;AreaGuissona;lactics;Formatge Llesq.;Gorgonzola;1;1,59;0;1,59;2747;;
138;07/10/2023;octubre;2023;AreaGuissona;b…sics;Pasta;0;1;1,6;0;1,6;2747;;
139;07/10/2023;octubre;2023;AreaGuissona;fruita;Ra‹m ;0;1;2,05;0;2,05;2747;;
140;07/10/2023;octubre;2023;AreaGuissona;carn;Pollastre sencer;0;1;3,66;0;3,66;2747;;
141;07/10/2023;octubre;2023;AreaGuissona;carn;Llom canya;0;1;5,97;0;5,97;2747;;
142;07/10/2023;octubre;2023;AreaGuissona;verdura;Quinoa;0;1;1,56;0;1,56;2747;;
143;07/10/2023;octubre;2023;AreaGuissona;lactics;Formatge ratllat;0;1;1,55;0;1,55;2747;;
144;07/10/2023;octubre;2023;AreaGuissona;fruita;Codonyat;0;1;1,79;0;1,79;2747;;
145;07/10/2023;octubre;2023;AreaGuissona;xocolata;Xocolata Llet;0;2;1;0;2;2747;;
146;07/10/2023;octubre;2023;AreaGuissona;b…sics;Pasta;0;1;1,49;0;1,49;2747;;
147;07/10/2023;octubre;2023;Ous casolans;b…sics;Ous;0;1;24;0;24;2724;;
