ID_mov;Banc;FormaPago;Data;mes;any;import ingrés;Import càrrec;grup;Idcategoria;Idconcepte;Comentari;ticketPendent
4023;T.CorteInglés;T.CorteInglés;19/09/2024;septiembre;2024;0.0;0.0;Càrrec;restaurant;Restaurant;Tapes. Bilbao;False
4024;T.CorteInglés;T.CorteInglés;19/09/2024;septiembre;2024;0.0;26.8;Càrrec;restaurant;Restaurant;Iturriza. Bilbao;False
4065;T.CorteInglés;T.CorteInglés;01/10/2024;octubre;2024;0.0;120.1;Càrrec;menjar;El Corte Inglés;;False
4068;T.CorteInglés;T.CorteInglés;01/10/2024;octubre;2024;0.0;8.09;Càrrec;restaurant;Bar;El Corte Inglés;False
7;BBVA;Compte;01/03/2021;marzo;2021;0.0;100.0;op_banc;op_banc;Reintegre Caixer;;False
13;BBVA;Compte;05/03/2021;marzo;2021;0.0;50.15;op_banc;op_banc;Pago VISA;;False
43;BBVA;Compte;30/03/2021;marzo;2021;400.0;0.0;op_banc;op_banc;Traspàs comptes;;False
47;BBVA;Compte;30/03/2021;marzo;2021;0.0;0.0;op_banc;op_banc;Traspàs comptes;;False
48;LaCaixa;Compte;30/03/2021;marzo;2021;0.0;450.0;op_banc;op_banc;Traspàs comptes;;False
51;BBVA;Compte;31/03/2021;marzo;2021;100.0;0.0;op_banc;op_banc;Traspàs comptes;;False
57;BBVA;Compte;06/04/2021;abril;2021;70.0;0.0;op_banc;op_banc;Traspàs comptes;;False
10;BBVA;Dèbit;03/03/2021;marzo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
17;BBVA;Dèbit;05/03/2021;marzo;2021;0.0;50.0;op_banc;op_banc;Reintegre Caixer;;False
25;BBVA;Dèbit;11/03/2021;marzo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
27;BBVA;Dèbit;15/03/2021;marzo;2021;0.0;50.0;op_banc;op_banc;Reintegre Caixer;;False
29;BBVA;Dèbit;18/03/2021;marzo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
30;BBVA;Dèbit;22/03/2021;marzo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
32;BBVA;Dèbit;24/03/2021;marzo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
38;BBVA;Dèbit;29/03/2021;marzo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
59;BBVA;Compte;06/04/2021;abril;2021;0.0;22.82;op_banc;op_banc;Pago VISA;;False
60;BBVA;Compte;06/04/2021;abril;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
62;LaCaixa;Compte;06/04/2021;abril;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
63;LaCaixa;Compte;06/04/2021;abril;2021;0.0;70.0;op_banc;op_banc;Reintegre Caixer;;False
4569;BBVA;Dèbit;05/02/2025;febrero;2025;0.0;40.52;Càrrec;assegurança;BBVA Asseg. Casa;;False
5198;BBVA;Compte;04/07/2025;julio;2025;0.0;16.0;Càrrec;assegurança;DP Morts Enric;;False
5200;BBVA;Compte;04/07/2025;julio;2025;0.0;21.62;Càrrec;assegurança;DP MP Mireia;;False
61;BBVA;Compte;06/04/2021;abril;2021;0.0;70.0;op_banc;op_banc;Traspàs comptes;;False
98;BBVA;Compte;29/04/2021;abril;2021;950.0;0.0;op_banc;op_banc;Traspàs comptes;;False
103;BBVA;Compte;29/04/2021;abril;2021;0.0;0.0;op_banc;op_banc;Traspàs comptes;;False
69;BBVA;Dèbit;07/04/2021;abril;2021;0.0;150.0;op_banc;op_banc;Reintegre Caixer;;False
77;BBVA;Dèbit;12/04/2021;abril;2021;0.0;50.0;op_banc;op_banc;Reintegre Caixer;;False
81;BBVA;Dèbit;14/04/2021;abril;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
86;BBVA;Dèbit;19/04/2021;abril;2021;0.0;50.0;op_banc;op_banc;Reintegre Caixer;;False
91;BBVA;Dèbit;23/04/2021;abril;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
109;BBVA;Dèbit;01/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
115;BBVA;Dèbit;03/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
104;LaCaixa;Compte;29/04/2021;abril;2021;0.0;550.0;op_banc;op_banc;Reintegre Caixer;;False
3315;LaCaixa;Compte;12/03/2024;marzo;2024;0.0;60.53;Càrrec;despesa_general;Ajunt. Arbúcies;;False
3424;LaCaixa;Compte;12/04/2024;abril;2024;0.0;60.53;Càrrec;despesa_general;Ajunt. Arbúcies;;False
3537;LaCaixa;Compte;14/05/2024;mayo;2024;0.0;60.53;Càrrec;despesa_general;Ajunt. Arbúcies;;False
3657;LaCaixa;Compte;05/06/2024;junio;2024;0.0;60.53;Càrrec;despesa_general;Ajunt. Arbúcies;;False
3776;LaCaixa;Compte;12/07/2024;julio;2024;0.0;60.53;Càrrec;despesa_general;Ajunt. Arbúcies;;False
3929;LaCaixa;Compte;12/08/2024;agosto;2024;0.0;60.53;Càrrec;despesa_general;Ajunt. Arbúcies;;False
3967;LaCaixa;Compte;11/09/2024;septiembre;2024;0.0;60.53;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4096;LaCaixa;Compte;11/10/2024;octubre;2024;0.0;24.45;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4243;LaCaixa;Compte;12/11/2024;noviembre;2024;0.0;24.45;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4458;LaCaixa;Compte;02/12/2024;diciembre;2024;0.0;24.44;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4509;LaCaixa;Compte;14/01/2025;enero;2025;0.0;68.46;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4629;LaCaixa;Compte;11/02/2025;febrero;2025;0.0;68.46;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4722;LaCaixa;Compte;12/03/2025;marzo;2025;0.0;68.46;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4858;LaCaixa;Compte;11/04/2025;abril;2025;0.0;68.46;Càrrec;despesa_general;Ajunt. Arbúcies;;False
4859;LaCaixa;Compte;11/04/2025;abril;2025;0.0;-51.12;Càrrec;despesa_general;Ajunt. Arbúcies;Abono Cotxe 2024;False
89;BBVA;Compte;21/04/2021;abril;2021;0.0;12.0;op_banc;op_banc;Transferència;Berna;False
2949;BBVA;Dèbit;11/12/2023;diciembre;2023;0.0;6.74;Càrrec;farmàcia;Farmàcia;;False
2955;BBVA;Dèbit;14/12/2023;diciembre;2023;0.0;12.49;Càrrec;farmàcia;Farmàcia;;False
118;BBVA;Compte;05/05/2021;mayo;2021;0.0;80.24;op_banc;op_banc;Pago VISA;;False
2987;BBVA;Dèbit;20/12/2023;diciembre;2023;0.0;3.83;Càrrec;farmàcia;Farmàcia;;False
3039;BBVA;Dèbit;02/01/2024;enero;2024;0.0;12.13;Càrrec;farmàcia;Farmàcia;;False
3045;BBVA;Dèbit;04/01/2024;enero;2024;0.0;12.49;Càrrec;farmàcia;Farmàcia;;False
3271;BBVA;Dèbit;11/03/2024;marzo;2024;0.0;3.96;Càrrec;farmàcia;Farmàcia;;False
3735;BBVA;Dèbit;09/07/2024;julio;2024;0.0;16.95;Càrrec;farmàcia;Farmàcia;;False
4206;BBVA;Dèbit;08/11/2024;noviembre;2024;0.0;8.95;Càrrec;farmàcia;Farmàcia;Compresa freda;False
4408;BBVA;Dèbit;26/12/2024;diciembre;2024;0.0;15.18;Càrrec;farmàcia;Farmàcia;;False
4409;BBVA;Dèbit;26/12/2024;diciembre;2024;0.0;12.2;Càrrec;farmàcia;Farmàcia;;False
4430;BBVA;Dèbit;31/12/2024;diciembre;2024;0.0;13.95;Càrrec;farmàcia;Farmàcia;;False
71;BBVA;Dèbit;08/04/2021;abril;2021;0.0;41.86;Càrrec;farmàcia;Farmàcia;;False
42;BBVA;Dèbit;30/03/2021;marzo;2021;0.0;5.69;Càrrec;farmàcia;Farmàcia;;False
1528;BBVA;Dèbit;31/10/2022;octubre;2022;0.0;25.79;Càrrec;farmàcia;Farmàcia;;False
1712;BBVA;Dèbit;19/12/2022;diciembre;2022;0.0;2.7;Càrrec;farmàcia;Farmàcia;;False
162;BBVA;Compte;30/05/2021;mayo;2021;600.0;0.0;op_banc;op_banc;Traspàs comptes;;False
163;LaCaixa;Compte;30/05/2021;mayo;2021;0.0;600.0;op_banc;op_banc;Traspàs comptes;;False
123;BBVA;Dèbit;05/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
129;BBVA;Dèbit;10/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
141;BBVA;Dèbit;17/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
144;BBVA;Dèbit;19/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
153;BBVA;Dèbit;24/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
159;BBVA;Dèbit;26/05/2021;mayo;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
5629;LaCaixa;Compte;13/10/2025;octubre;2025;0.0;29.23;Càrrec;despesa_general;Ajunt. Arbúcies;;False
5744;LaCaixa;Compte;10/11/2025;noviembre;2025;0.0;29.23;Càrrec;despesa_general;Ajunt. Arbúcies;;False
1513;LaCaixa;Compte;24/10/2022;octubre;2022;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
181;BBVA;Compte;04/06/2021;junio;2021;0.0;150.97;op_banc;op_banc;Pago VISA;;False
1640;LaCaixa;Compte;24/11/2022;noviembre;2022;969.22;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
1810;LaCaixa;Compte;24/12/2022;diciembre;2022;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
226;LaCaixa;Compte;30/06/2021;junio;2021;0.0;600.0;op_banc;op_banc;Traspàs comptes;;False
218;BBVA;Compte;30/06/2021;junio;2021;600.0;0.0;op_banc;op_banc;Traspàs comptes;;False
206;LaCaixa;Compte;24/06/2021;junio;2021;805.6;0.0;Ingrés;ingrés_general;Pensió no contributiva;paga extra;False
192;BBVA;Dèbit;09/06/2021;junio;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
195;BBVA;Dèbit;14/06/2021;junio;2021;0.0;50.0;op_banc;op_banc;Reintegre Caixer;;False
203;BBVA;Dèbit;19/06/2021;junio;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
230;BBVA;Dèbit;05/07/2021;julio;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
1942;LaCaixa;Compte;24/02/2023;febrero;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2045;LaCaixa;Compte;24/03/2023;marzo;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2146;LaCaixa;Compte;24/04/2023;abril;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2250;LaCaixa;Compte;24/05/2023;mayo;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2350;LaCaixa;Compte;26/06/2023;junio;2023;969.22;0.0;Ingrés;ingrés_general;Pensió no contributiva;+ paga extra;False
2554;LaCaixa;Compte;24/07/2023;julio;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2596;LaCaixa;Compte;24/08/2023;agosto;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2683;LaCaixa;Compte;24/09/2023;septiembre;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2806;LaCaixa;Compte;24/10/2023;octubre;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
2889;LaCaixa;Compte;24/11/2023;noviembre;2023;969.22;0.0;Ingrés;ingrés_general;Pensió no contributiva;Paga extra;False
3014;LaCaixa;Compte;24/12/2023;diciembre;2023;484.61;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
3107;LaCaixa;Compte;24/01/2024;enero;2024;517.9;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
3200;LaCaixa;Compte;26/02/2024;febrero;2024;517.9;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
4915;LaCaixa;Compte;24/04/2025;abril;2025;564.7;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
5042;LaCaixa;Compte;24/05/2025;mayo;2025;564.7;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
207;LaCaixa;Compte;24/06/2021;junio;2021;0.0;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
155;LaCaixa;Compte;24/05/2021;mayo;2021;0.0;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
544;BBVA;Compte;07/12/2021;diciembre;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Isabel;;False
545;BBVA;Compte;07/12/2021;diciembre;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Enric;;False
566;BBVA;Compte;22/12/2021;diciembre;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
567;BBVA;Compte;22/12/2021;diciembre;2021;100.0;0.0;Ingrés;ingrés_general;Hisenda;;False
568;BBVA;Compte;22/12/2021;diciembre;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
572;LaCaixa;Compte;23/12/2021;diciembre;2021;164.48;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
573;LaCaixa;Compte;23/12/2021;diciembre;2021;0.0;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
585;BBVA;Compte;29/12/2021;diciembre;2021;14.6;0.0;Ingrés;ingrés_general;Cartera DP Petit;;False
586;BBVA;Compte;29/12/2021;diciembre;2021;45.13;0.0;Ingrés;ingrés_general;Cartera DP Gran;;False
160;LaCaixa;Compte;27/05/2021;mayo;2021;164.48;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
210;BBVA;Compte;25/06/2021;junio;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
92;LaCaixa;Compte;24/04/2021;abril;2021;0.0;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
344;BBVA;Compte;30/08/2021;agosto;2021;12.68;0.0;Ingrés;ingrés_general;Cartera DP Petit;;False
366;BBVA;Compte;07/09/2021;septiembre;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Isabel;;False
367;BBVA;Compte;07/09/2021;septiembre;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Enric;;False
397;BBVA;Compte;28/09/2021;septiembre;2021;0.0;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
399;LaCaixa;Compte;28/09/2021;septiembre;2021;164.48;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
400;BBVA;Compte;29/09/2021;septiembre;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
401;BBVA;Compte;29/09/2021;septiembre;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
403;BBVA;Compte;29/09/2021;septiembre;2021;52.79;0.0;Ingrés;ingrés_general;Cartera DP Gran;;False
404;BBVA;Compte;29/09/2021;septiembre;2021;12.68;0.0;Ingrés;ingrés_general;Cartera DP Petit;;False
233;BBVA;Compte;05/07/2021;julio;2021;0.0;356.24;op_banc;op_banc;Pago VISA;;False
205;BBVA;Compte;22/06/2021;junio;2021;0.0;4.0;op_banc;op_banc;Pago VISA;Duplicar targeta crèdit;False
428;BBVA;Compte;07/10/2021;octubre;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Isabel;;False
239;BBVA;Compte;05/07/2021;julio;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
240;LaCaixa;Compte;05/07/2021;julio;2021;0.0;50.0;op_banc;op_banc;Reintegre Caixer;;False
334;LaCaixa;Compte;24/08/2021;agosto;2021;0.0;0.0;Ingrés;ingrés_general;Pensió no contributiva;;False
447;BBVA;Compte;22/10/2021;octubre;2021;100.0;0.0;Ingrés;ingrés_general;Hisenda;;False
448;BBVA;Compte;22/10/2021;octubre;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
456;LaCaixa;Compte;26/10/2021;octubre;2021;0.0;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
457;LaCaixa;Compte;26/10/2021;octubre;2021;164.48;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
463;BBVA;Compte;29/10/2021;octubre;2021;29.64;0.0;Ingrés;ingrés_general;Cartera DP Petit;;False
464;BBVA;Compte;29/10/2021;octubre;2021;55.47;0.0;Ingrés;ingrés_general;Cartera DP Gran;;False
482;BBVA;Compte;08/11/2021;noviembre;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Isabel;;False
483;BBVA;Compte;08/11/2021;noviembre;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Enric;;False
9;BBVA;Compte;02/03/2021;marzo;2021;11.82;0.0;Ingrés;ingrés_general;Cartera DP Petit;;False
288;BBVA;Compte;29/07/2021;julio;2021;0.0;0.0;op_banc;op_banc;Traspàs comptes;;False
282;BBVA;Compte;29/07/2021;julio;2021;700.0;0.0;op_banc;op_banc;Traspàs comptes;;False
238;BBVA;Compte;05/07/2021;julio;2021;0.0;50.0;op_banc;op_banc;Traspàs comptes;;False
243;BBVA;Compte;06/07/2021;julio;2021;80.0;0.0;op_banc;op_banc;Traspàs comptes;;False
244;LaCaixa;Compte;06/07/2021;julio;2021;0.0;0.0;op_banc;op_banc;Traspàs comptes;;False
237;BBVA;Compte;05/07/2021;julio;2021;50.0;0.0;op_banc;op_banc;Traspàs comptes;;False
289;LaCaixa;Compte;29/07/2021;julio;2021;0.0;700.0;op_banc;op_banc;Traspàs comptes;;False
287;BBVA;Compte;29/07/2021;julio;2021;0.0;0.5;op_banc;op_banc;Traspàs comptes;;False
285;BBVA;Compte;29/07/2021;julio;2021;100.0;0.0;op_banc;op_banc;Traspàs comptes;;False
286;BBVA;Compte;29/07/2021;julio;2021;1.0;0.0;op_banc;op_banc;Traspàs comptes;;False
3375;BBVA;Dèbit;08/04/2024;abril;2024;0.0;24.84;Càrrec;manteniment;Arc Arbúcies;Ciment+malla+pegoland;False
250;BBVA;Dèbit;07/07/2021;julio;2021;0.0;20.0;op_banc;op_banc;Reintegre Caixer;;False
12;BBVA;Compte;04/03/2021;marzo;2021;52.79;0.0;Ingrés;ingrés_general;Cartera DP Gran;;False
14;BBVA;Compte;05/03/2021;marzo;2021;451.92;0.0;Ingrés;ingrés_general;Abonament Ajuda Isabel;;False
20;BBVA;Compte;09/03/2021;marzo;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
22;BBVA;Compte;10/03/2021;marzo;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
28;BBVA;Compte;15/03/2021;marzo;2021;281.19;0.0;Ingrés;ingrés_general;NN Enric;;False
34;LaCaixa;Compte;24/03/2021;marzo;2021;164.48;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
35;BBVA;Compte;25/03/2021;marzo;2021;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
45;BBVA;Compte;30/03/2021;marzo;2021;11.99;0.0;Ingrés;ingrés_general;Cartera DP Petit;;False
646;BBVA;Compte;21/01/2022;enero;2022;100.0;0.0;Ingrés;ingrés_general;Hisenda;;False
647;BBVA;Compte;21/01/2022;enero;2022;50.0;0.0;Ingrés;ingrés_general;Hisenda;;False
653;LaCaixa;Compte;25/01/2022;enero;2022;202.91;0.0;Ingrés;ingrés_general;Complement Generalitat;;False
666;BBVA;Compte;31/01/2022;enero;2022;20.19;0.0;Ingrés;ingrés_general;Cartera DP Petit;;False
667;BBVA;Compte;31/01/2022;enero;2022;77.77;0.0;Ingrés;ingrés_general;Cartera DP Gran;;False
687;BBVA;Compte;07/02/2022;febrero;2022;463.21;0.0;Ingrés;ingrés_general;Abonament Ajuda Isabel;;False
