mes;any;quota;pagat;id;aportació;rescat;pérdua
abril;2026;220.5;pagat;31;6463.5;5289.18;1174.32
mayo;2026;220.5;pagat;32;6684.0;5489.76;1194.24
junio;2026;220.5;pagat;33;6904.5;5691.32;1213.18
julio;2026;220.5;pagat;34;7125.0;5893.87;1231.13
agosto;2026;220.5;pagat;35;7345.5;6097.42;1248.08
septiembre;2026;220.5;pagat;36;7566.0;6301.96;1264.04
octubre;2026;231.53;pendent;37;7797.53;6506.81;1290.72
noviembre;2026;231.53;pendent;38;8029.06;6722.45;1306.61
diciembre;2026;231.53;pendent;39;8260.59;6939.14;1321.45
enero;2027;231.53;pendent;40;8492.12;7156.89;1335.23
febrero;2027;231.53;pendent;41;8723.65;7375.7;1347.95
marzo;2027;231.53;pendent;42;8955.18;7595.58;1359.6
abril;2027;231.53;pendent;43;9186.71;7816.52;1370.19
mayo;2027;231.53;pendent;44;9418.24;8038.53;1379.71
junio;2027;231.53;pendent;45;9649.77;8261.62;1388.15
julio;2027;231.53;pendent;46;9881.3;8485.79;1395.51
agosto;2027;231.53;pendent;47;10112.83;8711.05;1401.78
agosto;2031;281.42;pendent;95;22636.54;22126.21;510.33
septiembre;2031;281.42;pendent;96;22917.96;22458.65;459.31
octubre;2031;295.46;pendent;97;23213.42;22788.82;424.6
noviembre;2031;295.46;pendent;98;23508.88;23136.94;371.94
diciembre;2031;295.46;pendent;99;23804.34;23486.66;317.68
enero;2032;295.46;pendent;100;24099.8;23838.0;261.8
febrero;2032;295.46;pendent;101;24395.26;24190.97;204.29
marzo;2032;295.46;pendent;102;24690.72;24545.56;145.16
abril;2032;295.46;pendent;103;24986.18;24901.79;84.39
mayo;2032;295.46;pendent;104;25281.64;25259.66;21.98
junio;2032;295.46;pendent;105;25577.1;25619.17;-42.07
julio;2032;295.46;pendent;106;25872.56;25980.34;-107.78
agosto;2032;295.46;pendent;107;26168.02;26343.17;-175.15
septiembre;2032;295.46;pendent;108;26463.48;26707.66;-244.18
octubre;2032;310.27;pendent;109;26773.75;27069.12;-295.37
noviembre;2032;310.27;pendent;110;27084.02;27450.42;-366.4
diciembre;2032;310.27;pendent;111;27394.29;27800.72;-406.43
enero;2033;310.27;pendent;112;27704.56;28151.95;-447.39
febrero;2033;310.27;pendent;113;28014.83;28504.11;-489.28
marzo;2033;310.27;pendent;114;28325.1;28857.21;-532.11
abril;2033;310.27;pendent;115;28635.37;29211.26;-575.89
mayo;2033;310.27;pendent;116;28945.64;29566.25;-620.61
junio;2033;310.27;pendent;117;29255.91;29922.19;-666.28
julio;2033;310.27;pendent;118;29566.18;30279.08;-712.9
agosto;2033;310.27;pendent;119;29876.45;30636.93;-760.48
septiembre;2033;310.27;pendent;120;30186.72;30995.74;-809.02
octubre;2023;200.0;pagat;1;200.0;0.0;0.0
noviembre;2023;200.0;pagat;2;400.0;0.0;0.0
diciembre;2023;200.0;pagat;3;600.0;0.0;0.0
enero;2030;268.02;pendent;76;17396.76;16200.78;1195.98
febrero;2030;268.02;pendent;77;17664.78;16493.82;1170.96
marzo;2030;268.02;pendent;78;17932.8;16788.24;1144.56
abril;2030;268.02;pendent;79;18200.82;17084.03;1116.79
