idGasolina;cotxe;data;mes;any;import;?/l;litres;lloc
1.0;ibiza;01/03/2021;marzo;2021.0;39,2;1,322091062;29,65;Solred
2.0;ibiza;05/03/2021;marzo;2021.0;39,2;1,351258187;29,01;Efectiu
3.0;ibiza;11/03/2021;marzo;2021.0;39,2;1,351258187;29,01;Solred
4.0;ibiza;24/03/2021;marzo;2021.0;20;1,179;16,97;BonArea
5.0;ibiza;12/04/2021;abril;2021.0;30;1,179;25,45;BonArea
6.0;ibiza;20/04/2021;abril;2021.0;19,6;1,469;13,61;Solred
7.0;ibiza;27/04/2021;abril;2021.0;20;1,188;16,83;BonArea
8.0;ibiza;03/05/2021;mayo;2021.0;40;1,179;33,93;BonArea
9.0;ibiza;11/05/2021;mayo;2021.0;40;1,188;33,67;BonArea
10.0;ibiza;19/05/2021;mayo;2021.0;40;1,196;33,44;BonArea
11.0;ibiza;27/05/2021;mayo;2021.0;40;1,193;33,52891869;BonArea
12.0;ibiza;01/06/2021;junio;2021.0;40;1,193;33,53;BonArea
13.0;ibiza;08/06/2021;junio;2021.0;40;1,193;33,53;BonArea
14.0;ibiza;14/06/2021;junio;2021.0;40;1,203;33,25;BonArea
15.0;ibiza;18/06/2021;junio;2021.0;20;1,203;16,63;BonArea
16.0;ibiza;22/06/2021;junio;2021.0;40;1,203;33,25;BonArea
17.0;ibiza;30/06/2021;junio;2021.0;40;1,218;32,84;BonArea
18.0;ibiza;12/07/2021;julio;2021.0;40;1,257;31,82;BonArea
19.0;ibiza;18/07/2021;julio;2021.0;20;1,42;14,08;Altres
20.0;ibiza;19/07/2021;julio;2021.0;52,84;1,31;40,34;Altres
21.0;ibiza;02/08/2021;agosto;2021.0;31,33;1,35;23,21;Altres
22.0;ibiza;04/08/2021;agosto;2021.0;20;1,263;15,83;BonArea
23.0;ibiza;10/08/2021;agosto;2021.0;40;1,263;31,67;BonArea
24.0;ibiza;18/08/2021;agosto;2021.0;30;1,258;23,84737679;BonArea
25.0;ibiza;02/09/2021;septiembre;2021.0;40;1,257;31,82;BonArea
26.0;ibiza;09/09/2021;septiembre;2021.0;40;1,268;31,55;BonArea
27.0;ibiza;20/09/2021;septiembre;2021.0;40;1,279;31,27;BonArea
28.0;ibiza;28/09/2021;septiembre;2021.0;10;1,339;7,47;Altres
29.0;ibiza;28/09/2021;septiembre;2021.0;30;1,279;23,46;BonArea
30.0;ibiza;05/10/2021;octubre;2021.0;40;1,279;31,27443315;BonArea
31.0;ibiza;18/10/2021;octubre;2021.0;40;1,348;29,6735905;BonArea
32.0;ibiza;19/10/2021;octubre;2021.0;40;1,348;29,6735905;BonArea
33.0;ibiza;03/11/2021;noviembre;2021.0;40;1,359;29,43340692;BonArea
34.0;ibiza;15/11/2021;noviembre;2021.0;10;1,439;6,949270327;Altres
35.0;ibiza;16/11/2021;noviembre;2021.0;40;1,359;29,43340692;BonArea
36.0;ibiza;23/11/2021;noviembre;2021.0;40;1,348;29,6735905;BonArea
37.0;ibiza;29/11/2021;noviembre;2021.0;10;1,369;7,304601899;Altres
38.0;ibiza;30/11/2021;noviembre;2021.0;40;1,359;29,43340692;BonArea
39.0;ibiza;14/12/2021;diciembre;2021.0;40;1,318;30,34901366;BonArea
40.0;ibiza;20/12/2021;diciembre;2021.0;30;1,318;22,76176024;BonArea
41.0;ibiza;21/12/2021;diciembre;2021.0;35,32;1,309;26,98242934;BonArea
42.0;ibiza;05/01/2022;enero;2022.0;47,35;1,469;32,23281144;Altres
43.0;ibiza;01/01/2022;enero;2022.0;20;1,469;13,61470388;Altres
44.0;ibiza;07/01/2022;enero;2022.0;10;1,639;6,101281269;Altres
45.0;ibiza;10/01/2022;enero;2022.0;40;1,319;30,32600455;BonArea
46.0;ibiza;17/01/2022;enero;2022.0;40;1,358;29,455081;BonArea
47.0;ibiza;25/01/2022;enero;2022.0;40;1,378;29,0275762;BonArea
48.0;ibiza;08/02/2022;febrero;2022.0;50;1,427;35,0385424;BonArea
49.0;ibiza;14/02/2022;febrero;2022.0;42,87;1,427;30,04204625;BonArea
50.0;ibiza;23/02/2022;febrero;2022.0;50;1,467;34,08316292;BonArea
51.0;ibiza;02/03/2022;marzo;2022.0;40;1,493;26,79169457;BonArea
52.0;ibiza;08/03/2022;marzo;2022.0;57,06;1,578;36,15969582;BonArea
53.0;ibiza;11/03/2022;marzo;2022.0;50;1,693;50;BonArea
54.0;ibiza;18/03/2022;marzo;2022.0;28,13;1,645;28,13;BonArea
55.0;ibiza;25/03/2022;marzo;2022.0;56,22;1,658;33,90832328;BonArea
56.0;ibiza;07/04/2022;abril;2022.0;60,73;1,448;41,94060773;BonArea
57.0;ibiza;20/04/2022;abril;2022.0;55,92;1,428;39,15966387;BonArea
58.0;ibiza;29/04/2022;abril;2022.0;61,67;1,476;41,78184282;BonArea
59.0;ibiza;09/05/2022;mayo;2022.0;46,04;1,528;30,13089005;BonArea
60.0;ibiza;16/05/2022;mayo;2022.0;55,72;1,549;35,97159458;BonArea
61.0;ibiza;25/05/2022;mayo;2022.0;65,13;1,758;37,04778157;BonArea
62.0;ibiza;03/06/2022;junio;2022.0;40;1,758;22,75312856;BonArea
63.0;ibiza;06/06/2022;junio;2022.0;40;1,758;22,75312856;BonArea
64.0;ibiza;09/06/2022;junio;2022.0;40;1,758;22,75312856;BonArea
65.0;ibiza;14/06/2022;junio;2022.0;40;1,758;22,75312856;BonArea
66.0;ibiza;29/06/2022;junio;2022.0;40;1,766;22,65005663;BonArea
67.0;ibiza;05/07/2022;julio;2022.0;68,1;1,749;38,93653516;BonArea
68.0;ibiza;12/07/2022;julio;2022.0;73,12;1,679;43,54973198;BonArea
69.0;ibiza;18/07/2022;julio;2022.0;52,77;1,68;31,43;BonArea
70.0;ibiza;25/07/2022;julio;2022.0;67,82;1,53;43,53;BonArea
71.0;ibiza;01/08/2022;agosto;2022.0;67,14;1,669;40,23;Esclat Palam¢s
72.0;ibiza;10/08/2022;agosto;2022.0;68,24;1,669;40,87;Esclat Palam¢s
73.0;ibiza;16/08/2022;agosto;2022.0;53,96;1,39;38,71;BonArea
74.0;ibiza;22/08/2022;agosto;2022.0;20;1,51;13,25;Altres
75.0;ibiza;02/09/2022;septiembre;2022.0;40;1,669;23,97;Altres
76.0;ibiza;08/09/2022;septiembre;2022.0;56,95;1,388;41,03025937;BonArea
77.0;ibiza;18/09/2022;septiembre;2022.0;46,5;1,289;36,07;BonArea
78.0;ibiza;01/10/2022;octubre;2022.0;57,01;1,317;43,29;BonArea
79.0;ibiza;14/10/2022;octubre;2022.0;20;1,459;13,70801919;Altres
80.0;ibiza;18/10/2022;octubre;2022.0;44,33;1,393;31,82340273;BonArea
81.0;ibiza;30/10/2022;octubre;2022.0;56,76;1,393;40,74659009;BonArea
82.0;ibiza;09/11/2022;noviembre;2022.0;58,59;1,393;42,06030151;BonArea
83.0;ibiza;16/11/2022;noviembre;2022.0;57,64;1,426;40,42075736;BonArea
84.0;ibiza;23/11/2022;noviembre;2022.0;53,93;1,389;38,82649388;BonArea
85.0;ibiza;02/12/2022;diciembre;2022.0;38,26;1,326;28,85369532;BonArea
86.0;ibiza;10/12/2022;diciembre;2022.0;42,71;1,286;33,21150855;BonArea
87.0;ibiza;16/12/2022;diciembre;2022.0;39,89;1,177;33,89124894;BonArea
88.0;ibiza;21/12/2022;diciembre;2022.0;48,55;1,177;41,24893798;BonArea
89.0;ibiza;23/12/2022;diciembre;2022.0;14,22;1,177;12,0815633;BonArea
90.0;ibiza;23/12/2022;diciembre;2022.0;16,83;1,379;12,66;Altres
91.0;ibiza;28/12/2022;diciembre;2022.0;40,89;1,34;30,51492537;Altres
92.0;ibiza;09/01/2023;enero;2023.0;19,54;1,57;12,44585987;Altres
93.0;ibiza;09/01/2023;enero;2023.0;20;1,679;11,91185229;Efectiu
94.0;ibiza;10/01/2023;enero;2023.0;58,59;1,396;41,96991404;BonArea
95.0;ibiza;18/01/2023;enero;2023.0;56,62;1,436;39,42896936;BonArea
96.0;ibiza;27/01/2023;enero;2023.0;53,1;1,518;34,98;BonArea
97.0;ibiza;08/02/2023;febrero;2023.0;20;1,498;13,35;BonArea
98.0;ibiza;12/02/2023;febrero;2023.0;56,48;1,498;37,95698925;BonArea
99.0;ibiza;07/03/2023;marzo;2023.0;20;1,559;12,82873637;Altres
100.0;ibiza;11/03/2023;marzo;2023.0;56,88;1,495;38,04682274;BonArea
101.0;ibiza;21/03/2023;marzo;2023.0;54,97;1,495;36,77;BonArea
102.0;ibiza;06/04/2023;abril;2023.0;20;1,487;13,44989913;BonArea
103.0;ibiza;07/04/2023;abril;2023.0;41,65;1,478;28,17997294;BonArea
104.0;ibiza;04/05/2023;mayo;2023.0;49,28;1,444;34,12742382;BonArea
105.0;ibiza;18/05/2023;mayo;2023.0;36,77;1,398;26,3018598;BonArea
106.0;ibiza;01/06/2023;junio;2023.0;49,8;1,398;35,6223176;BonArea
107.0;ibiza;24/06/2023;junio;2023.0;46,73;1,429;32,70118964;BonArea
108.0;ibiza;05/07/2023;julio;2023.0;58,09;1,419;40,93727977;BonArea
109.0;ibiza;14/07/2023;julio;2023.0;34,42;1,448;23,77071823;BonArea
110.0;ibiza;26/07/2023;julio;2023.0;64,56;1,488;43,39;BonArea
111.0;ibiza;27/07/2023;julio;2023.0;20;1,764;11,34;Altres
112.0;ibiza;31/07/2023;julio;2023.0;30;1,589;18,87;Altres
113.0;ibiza;07/08/2023;agosto;2023.0;71,77;1,589;45,17;Altres
114.0;ibiza;10/08/2023;agosto;2023.0;20;1,799;11,12;Altres
115.0;ibiza;11/08/2023;agosto;2023.0;58,45;1,496;39,07;BonArea
116.0;ibiza;01/08/2023;agosto;2023.0;20;1,799;11,12;Altres
117.0;ibiza;23/08/2023;agosto;2023.0;62,17;1,548;40,16;BonArea
118.0;ibiza;05/09/2023;septiembre;2023.0;62,62;1,548;40,45;BonArea
119.0;ibiza;18/09/2023;septiembre;2023.0;10;1,839;5,44;Repsol
120.0;ibiza;18/09/2023;septiembre;2023.0;61,73;1,586;38,92;BonArea
121.0;ibiza;27/10/2023;octubre;2023.0;58,96;1,45;40,72;BonArea
122.0;ibiza;18/11/2023;noviembre;2023.0;61,39;1,42;43,26;BonArea
123.0;ibiza;04/12/2023;diciembre;2023.0;48,27;1,398;34,53;BonArea
124.0;ibiza;19/12/2023;diciembre;2023.0;44,86;1,367;32,82;BonArea
125.0;ibiza;22/12/2023;diciembre;2023.0;53,97;1,356;39,8;BonArea
126.0;ibiza;02/01/2024;enero;2024.0;10;1,619;6,18;Repsol
127.0;ibiza;02/01/2024;enero;2024.0;51,09;1,356;37,68;BonArea
128.0;ibiza;09/01/2024;enero;2024.0;52,53;1,379;38,09;BonArea
129.0;ibiza;30/01/2024;enero;2024.0;56,73;1,398;40,58;BonArea
130.0;ibiza;10/02/2024;febrero;2024.0;52,76;1,414;37,31;BonArea
131.0;ibiza;21/02/2024;febrero;2024.0;63,14;1,467;43,04;BonArea
132.0;ibiza;12/03/2024;marzo;2024.0;55,44;1,467;37,79;BonArea
133.0;ibiza;27/03/2024;marzo;2024.0;52,95;1,477;35,85;BonArea
134.0;ibiza;12/04/2024;abril;2024.0;61,89;1,517;40,8;BonArea
135.0;ibiza;23/04/2024;abril;2024.0;56,66;1,517;37,35;BonArea
136.0;ibiza;08/05/2024;mayo;2024.0;42,02;1,496;28,09;BonArea
137.0;ibiza;28/05/2024;mayo;2024.0;57,68;1,447;39,86;BonArea
138.0;ibiza;30/05/2024;mayo;2024.0;20;1,78;11,24;Altres
139.0;t¡voli;03/06/2024;junio;2024.0;66,6;1,724;38,63;Altres
140.0;t¡voli;05/06/2024;junio;2024.0;20,1;1,609;12,49;Altres
141.0;t¡voli;05/06/2024;junio;2024.0;40;1,759;22,74;Altres
142.0;t¡voli;07/06/2024;junio;2024.0;53,83;1,418;37,96;BonArea
143.0;t¡voli;21/06/2024;junio;2024.0;59,9;1,408;42,54;BonArea
144.0;t¡voli;04/07/2024;julio;2024.0;54,5;1,424;38,27;BonArea
145.0;t¡voli;19/07/2024;julio;2024.0;40;1,419;28,19;BonArea
146.0;t¡voli;27/07/2024;julio;2024.0;41,46;1,419;29,22;BonArea
147.0;t¡voli;31/07/2024;julio;2024.0;23,49;1,408;16,68;BonArea
148.0;t¡voli;31/07/2024;julio;2024.0;30;1,699;17,66;Altres
149.0;t¡voli;09/08/2024;agosto;2024.0;63,04;1,679;37,55;Altres
150.0;t¡voli;10/08/2024;agosto;2024.0;30;1,679;17,87;Altres
151.0;t¡voli;12/08/2024;agosto;2024.0;56,34;1,385;40,68;BonArea
