N§ Periode;Saldo inicial;Quota fixa;Inter‚s;Abono capital;aportaci¢;Saldo final;data;mes;any;pagat
0;;;;;;83376,21;;;;
1;83376,21;472,91;225,81;247,1;;83129,11;28/12/2018;diciembre;2018;pagat
2;83129,11;472,91;225,14;247,77;;82881,34;28/01/2019;enero;2019;pagat
3;82881,34;472,91;224,47;248,44;;82632,9;28/02/2019;febrero;2019;pagat
4;82632,9;472,91;223,8;249,11;;82383,79;28/03/2019;marzo;2019;pagat
5;82383,79;472,91;223,12;249,79;;82134;28/04/2019;abril;2019;pagat
6;82134;472,91;222,45;250,46;;81883,54;28/05/2019;mayo;2019;pagat
7;81883,54;472,91;221,77;251,14;;81632,4;28/06/2019;junio;2019;pagat
8;81632,4;472,91;221,09;251,82;;81380,58;28/07/2019;julio;2019;pagat
9;81380,58;472,91;220,41;252,5;;81128,08;28/08/2019;agosto;2019;pagat
10;81128,08;472,91;219,72;253,19;;80874,89;28/09/2019;septiembre;2019;pagat
11;80874,89;472,91;219,04;253,87;;80621,02;28/10/2019;octubre;2019;pagat
12;80621,02;472,91;218,35;254,56;;80366,46;28/11/2019;noviembre;2019;pagat
13;80366,46;472,91;217,66;255,25;;80111,21;28/12/2019;diciembre;2019;pagat
14;80111,21;472,91;216,97;255,94;;79855,27;28/01/2020;enero;2020;pagat
15;79855,27;472,91;216,27;256,64;;79598,63;28/02/2020;febrero;2020;pagat
16;79598,63;472,91;215,58;257,33;;79341,3;28/03/2020;marzo;2020;pagat
17;79341,3;472,91;214,88;258,03;;79083,27;28/04/2020;abril;2020;pagat
18;79083,27;472,91;214,18;258,73;;78824,54;28/05/2020;mayo;2020;pagat
19;78824,54;472,91;213,48;259,43;;78565,11;28/06/2020;junio;2020;pagat
20;78565,11;472,91;212,78;260,13;;78304,98;28/07/2020;julio;2020;pagat
21;78304,98;472,91;212,08;260,83;;78044,15;28/08/2020;agosto;2020;pagat
22;78044,15;472,91;211,37;261,54;;77782,61;28/09/2020;septiembre;2020;pagat
23;77782,61;472,91;210,66;262,25;;77520,36;28/10/2020;octubre;2020;pagat
24;77520,36;472,91;209,95;262,96;;77257,4;28/11/2020;noviembre;2020;pagat
25;77257,4;472,91;209,24;263,67;;76993,73;28/12/2020;diciembre;2020;pagat
26;76993,73;472,91;208,52;264,39;;76729,34;28/01/2021;enero;2021;pagat
27;76729,34;472,91;207,81;265,1;;76464,24;28/02/2021;febrero;2021;pagat
28;76464,24;472,91;207,09;265,82;;76198,42;28/03/2021;marzo;2021;pagat
29;76198,42;472,91;206,37;266,54;;75931,88;28/04/2021;abril;2021;pagat
30;75931,88;472,91;205,65;267,26;;75664,62;28/05/2021;mayo;2021;pagat
31;75664,62;472,91;204,92;267,99;;75396,63;28/06/2021;junio;2021;pagat
32;75396,63;472,91;204,2;268,71;;75127,92;28/07/2021;julio;2021;pagat
33;75127,92;472,91;203,47;269,44;;74858,48;28/08/2021;agosto;2021;pagat
34;74858,48;472,91;202,74;270,17;;74588,31;28/09/2021;septiembre;2021;pagat
35;74588,32;472,91;202,01;270,9;;74317,42;28/10/2021;octubre;2021;pagat
36;74317,42;472,91;201,28;271,63;;74045,79;28/11/2021;noviembre;2021;pagat
37;74045,79;472,91;200,54;272,37;;73773,42;28/12/2021;diciembre;2021;pagat
38;73773,42;472,91;199,8;273,11;;73500,31;28/01/2022;enero;2022;pagat
39;73500,31;472,91;199,06;273,85;;73226,46;28/02/2022;febrero;2022;pagat
40;73226,46;472,91;198,32;274,59;;72951,87;28/03/2022;marzo;2022;pagat
