idIngres;Banc;Data;dia;mes;any;Categoria;Concepte;Import;comentari;cobrat
1;BBVA;10/11/2022;10;noviembre;2022.0;ingres_general;Abonament Ajuda Isabel;463,21;;cobrat
2;BBVA;10/11/2022;10;noviembre;2022.0;ingres_general;Abonament Ajuda Enric;463,21;;cobrat
3;Efectiu;11/11/2022;11;noviembre;2022.0;ingres_extra;Ingrés Extra;66;radiadors;cobrat
4;Efectiu;14/11/2022;14;noviembre;2022.0;ingres_extra;Casament;725;Joan-Mariana;cobrat
5;BBVA;15/11/2022;15;noviembre;2022.0;ingres_extra;Vinted;37;;cobrat
6;Efectiu;18/11/2022;18;noviembre;2022.0;ingres_extra;Feina Foto;40;30x40 Ferriol;cobrat
7;BBVA;25/11/2022;25;noviembre;2022.0;ingres_extra;Subvenció;85,21;Bonif. Ajunt.;cobrat
8;BBVA;25/11/2022;25;noviembre;2022.0;ingres_extra;Subvenció;313,3;Bo social tèrmic;cobrat
9;LaCaixa;25/11/2022;25;noviembre;2022.0;ingres_general;Pensió no contributiva;969,22;;cobrat
10;LaCaixa;25/11/2022;25;noviembre;2022.0;ingres_general;Complement Generalitat;172,07;;cobrat
11;BBVA;28/11/2022;28;noviembre;2022.0;ingres_general;Hisenda 50 1;50;;cobrat
12;BBVA;28/11/2022;28;noviembre;2022.0;ingres_general;Hisenda 100;100;;cobrat
13;BBVA;28/11/2022;28;noviembre;2022.0;ingres_general;Hisenda 50 2;50;;cobrat
14;BBVA;29/11/2022;29;noviembre;2022.0;ingres_general;Cartera DP Gran;47,14;;cobrat
15;BBVA;29/11/2022;29;noviembre;2022.0;ingres_general;Cartera DP Petit;14,01;;cobrat
16;BBVA;10/12/2022;10;diciembre;2022.0;ingres_general;Abonament Ajuda Isabel;463,21;;cobrat
17;BBVA;10/12/2022;10;diciembre;2022.0;ingres_general;Abonament Ajuda Enric;463,21;;cobrat
18;Efectiu;15/12/2022;15;diciembre;2022.0;ingres_extra;Feina Foto;280;Àlbum Lidia;cobrat
19;Efectiu;15/12/2022;15;diciembre;2022.0;ingres_extra;Feina Foto;0;Feli Bonilla;cobrat
20;Efectiu;15/12/2022;15;diciembre;2022.0;ingres_extra;Xarrup estovalles;300;;cobrat
21;Efectiu;20/12/2022;20;diciembre;2022.0;ingres_extra;Feina Foto;40;Calendaris Paqui Moreno;cobrat
22;Efectiu;20/12/2022;20;diciembre;2022.0;ingres_extra;Feina Foto;23;Yolanda Bonilla;cobrat
23;Efectiu;20/12/2022;20;diciembre;2022.0;ingres_extra;Feina Foto;15;Natalia Bonilla;cobrat
24;LaCaixa;25/12/2022;25;diciembre;2022.0;ingres_general;Pensió no contributiva;484,61;;cobrat
25;LaCaixa;25/12/2022;25;diciembre;2022.0;ingres_general;Complement Generalitat;172,07;;cobrat
26;BBVA;28/12/2022;28;diciembre;2022.0;ingres_general;Hisenda 50 1;50;;cobrat
27;BBVA;28/12/2022;28;diciembre;2022.0;ingres_general;Hisenda 100;100;;cobrat
28;BBVA;28/12/2022;28;diciembre;2022.0;ingres_general;Hisenda 50 2;50;;cobrat
29;BBVA;29/12/2022;29;diciembre;2022.0;ingres_general;Cartera DP Gran;47,14;;cobrat
30;BBVA;29/12/2022;29;diciembre;2022.0;ingres_general;Cartera DP Petit;25,18;;cobrat
31;Efectiu;31/12/2022;31;diciembre;2022.0;ingres_extra;Ingres Extra;100;Loteria;cobrat
32;BBVA;10/01/2023;10;enero;2023.0;ingres_general;Abonament Ajuda Isabel;463,21;;cobrat
33;BBVA;10/01/2023;10;enero;2023.0;ingres_general;Abonament Ajuda Enric;463,21;;cobrat
34;BBVA;14/01/2023;14;enero;2023.0;ingres_extra;Subvenció;156,65;;cobrat
35;Efectiu;14/01/2023;14;enero;2023.0;ingres_extra;Feina Foto;150;Lidia Cerrillo;cobrat
36;LaCaixa;25/01/2023;25;enero;2023.0;ingres_general;Pensió no contributiva;484,61;;cobrat
37;LaCaixa;25/01/2023;25;enero;2023.0;ingres_general;Complement Generalitat;172,07;;cobrat
38;BBVA;28/01/2023;28;enero;2023.0;ingres_general;Hisenda 50 1;50;;cobrat
39;BBVA;28/01/2023;28;enero;2023.0;ingres_general;Hisenda 100;100;;cobrat
