idRuta;cotxe;data;ruta;contador;km
1.0;ibiza;01/03/2021;Palam¢s(Pepe);184690.0;140.0
2.0;ibiza;02/03/2021;Palam¢s(NN);184830.0;140.0
3.0;ibiza;03/03/2021;Sta.Coloma (hort);184934.0;104.0
4.0;ibiza;04/03/2021;Sta.Coloma (classe);185038.0;104.0
5.0;ibiza;08/03/2021;Palam¢s(Pepe);185178.0;140.0
6.0;ibiza;10/03/2021;Sta.Coloma (hort);185286.0;108.0
7.0;ibiza;10/03/2021;Buscar llenya;185301.0;15.0
8.0;ibiza;11/03/2021;Sta.Coloma (classe);185379.0;78.0
9.0;ibiza;11/03/2021;Ma‡anet (firma);185448.0;69.0
10.0;ibiza;12/03/2021;Palam¢s(NN);185588.0;140.0
11.0;ibiza;16/03/2021;Buscar llenya;185603.0;15.0
12.0;ibiza;17/03/2021;Sta.Coloma (hort);185707.0;104.0
13.0;ibiza;18/03/2021;Sta.Coloma (classe);185815.0;108.0
14.0;ibiza;23/03/2021;Girona (vacuna)+Sta.Col;185974.0;159.0
15.0;ibiza;07/04/2021;Volta carrega bateria;185979.0;5.0
16.0;ibiza;08/04/2021;Sta. Coloma;186083.0;104.0
17.0;ibiza;10/04/2021;Palam¢s;186255.0;172.0
18.0;ibiza;12/04/2021;Vacuna Isa Girona;186359.0;104.0
19.0;ibiza;14/04/2021;Sta. Coloma (hort);186463.0;104.0
20.0;ibiza;15/04/2021;Sta.Coloma(Classe);186568.0;105.0
21.0;ibiza;20/04/2021;Platja d'Aro(metge);186711.0;143.0
22.0;ibiza;21/04/2021;Sta. Coloma (hort);186764.0;53.0
23.0;ibiza;22/04/2021;Sta.Coloma(Classe);186868.0;104.0
24.0;ibiza;27/04/2021;Posar gasolina;186871.0;3.0
25.0;ibiza;28/04/2021;Palam¢s(dentista Jordi);187011.0;140.0
26.0;ibiza;29/04/2021;Sta.Coloma(Classe);187119.0;108.0
27.0;ibiza;03/05/2021;Sta.Coloma (reuni¢);187175.0;56.0
28.0;ibiza;05/05/2021;Sta. Coloma (hort);187279.0;104.0
29.0;ibiza;06/05/2021;Sta.Coloma(Classe);187406.0;127.0
30.0;ibiza;10/05/2021;Palam¢s (lidia);187561.0;155.0
31.0;ibiza;11/05/2021;Buscar llenya;187580.0;19.0
32.0;ibiza;12/05/2021;Sta. Coloma (hort);187686.0;106.0
33.0;ibiza;13/05/2021;Sta.Coloma(Classe);187794.0;108.0
34.0;ibiza;14/05/2021;Hisenda LaBisbal;187960.0;166.0
35.0;ibiza;19/05/2021;Sta.Coloma(hort);188068.0;108.0
36.0;ibiza;20/05/2021;Sta.Coloma(Classe);188172.0;104.0
37.0;ibiza;22/05/2021;Girona(Hosp. Pepe);188295.0;123.0
38.0;ibiza;23/05/2021;Com. Bujons;188438.0;143.0
39.0;ibiza;26/05/2021;Sta.Coloma(hort);188544.0;106.0
40.0;ibiza;27/05/2021;Sta.Coloma(Classe);188650.0;106.0
41.0;ibiza;28/05/2021;Palam¢s(Dentista);188925.0;381.0
42.0;ibiza;01/06/2021;Sta.Coloma (dilluns);189031.0;859.0
43.0;ibiza;02/06/2021;Sta. Coloma + Trueta;189200.0;169.0
44.0;ibiza;03/06/2021;Sta. Coloma (dimecres);189312.0;112.0
45.0;ibiza;07/06/2021;Sta. Coloma;189419.0;107.0
46.0;ibiza;08/06/2021;Sta. Coloma + Santi;189629.0;210.0
47.0;ibiza;09/06/2021;Sta. Coloma+ Trueta;189801.0;172.0
48.0;ibiza;14/06/2021;Sta.Coloma (dilluns);189904.0;103.0
49.0;ibiza;15/06/2021;Sta.Coloma (dimarts);190010.0;106.0
50.0;ibiza;16/06/2021;Sta. Coloma+ mamograf;190174.0;164.0
51.0;ibiza;17/06/2021;?;190341.0;167.0
52.0;ibiza;18/06/2021;reparto cartes Palam¢s;190527.0;186.0
53.0;ibiza;21/06/2021;Vacuna Girona;190633.0;106.0
54.0;ibiza;22/06/2021;Sta. Coloma(1 viatge);190691.0;58.0
55.0;ibiza;25/06/2021;Trueta;190807.0;116.0
56.0;ibiza;26/06/2021;Sopar Jordi;190819.0;12.0
57.0;ibiza;28/06/2021;Sta.Coloma (dilluns);190926.0;107.0
58.0;ibiza;29/06/2021;Sta.Coloma (dimarts);191030.0;104.0
59.0;ibiza;30/06/2021;Sta. Coloma+ Trueta;191209.0;179.0
60.0;ibiza;05/07/2021;Sta.Coloma (dilluns);191316.0;107.0
61.0;ibiza;06/07/2021;Palam¢s;191494.0;178.0
62.0;ibiza;12/07/2021;Sta.Coloma (dilluns);191603.0;109.0
63.0;ibiza;13/07/2021;Sta.Coloma (dimarts);191711.0;108.0
64.0;ibiza;14/07/2021;Sta. Coloma (dimecres);191818.0;107.0
65.0;ibiza;14/07/2021;Argentona-Barcelona;192004.0;186.0
66.0;ibiza;31/07/2021;Viatge El Pilar;193494.0;1490.0
67.0;ibiza;04/08/2021;Palam¢s;193654.0;160.0
68.0;ibiza;09/08/2021;Sta.Coloma (dilluns);193760.0;106.0
69.0;ibiza;10/08/2021;Sta.Coloma (dimarts);193869.0;109.0
70.0;ibiza;11/08/2021;Sta.Coloma (dimecres);193976.0;107.0
71.0;ibiza;11/08/2021;Sta.Coloma (mores);194027.0;51.0
72.0;ibiza;21/08/2021;Palam¢s;194270.0;243.0
73.0;ibiza;30/08/2021;Sta.Coloma (dilluns);194377.0;107.0
74.0;ibiza;31/08/2021;Sta.Coloma (dimarts);194483.0;106.0
75.0;ibiza;01/09/2021;Sta.Coloma (dimecres);194593.0;110.0
76.0;ibiza;06/09/2021;Sta.Coloma (dilluns);194700.0;107.0
77.0;ibiza;07/09/2021;Sta.Coloma (dimarts);194806.0;106.0
78.0;ibiza;09/09/2021;Sta.Coloma (dimecres);194914.0;108.0
79.0;ibiza;09/09/2021;Generalitat Girona;195028.0;114.0
80.0;ibiza;13/09/2021;Sta.Coloma (dilluns);195134.0;106.0
81.0;ibiza;14/09/2021;Sta.Coloma (dimarts);195192.0;58.0
82.0;ibiza;15/09/2021;Sta.Coloma (dimecres);195298.0;106.0
83.0;ibiza;16/09/2021;Girona Vidres;195406.0;108.0
84.0;ibiza;20/09/2021;Sta.Coloma (dilluns);195512.0;214.0
85.0;ibiza;21/09/2021;Sta.Coloma (dimarts);195617.0;105.0
86.0;ibiza;23/09/2021;Palam¢s(entrega M£sica);195760.0;143.0
