idPago;Banc;Formapago;Data;dia;mes;any;Categoria;Concepte;Import;pagat
1;BBVA;Compte;30/06/2022;30;junio;2022;despesa_general;Hipoteca;472.91;pagat
2;BBVA;Compte;01/07/2022;1;julio;2022;proveidor;Hofmann;20.84;pagat
3;BBVA;Compte;02/07/2022;2;julio;2022;despesa_general;Ocaso;22.14;pagat
4;BBVA;Compte;04/07/2022;4;julio;2022;despesa_general;Piscina;56.0;pagat
5;LaCaixa;Compte;05/07/2022;5;julio;2022;despesa_general;Ajunt. Arb£cies;54.13;pagat
6;BBVA;Compte;05/07/2022;5;julio;2022;despesa_general;Endesa;34.75;pagat
7;BBVA;Compte;07/07/2022;7;julio;2022;asseguranáa;DP MP Mireia;24.5;pagat
8;BBVA;Compte;07/07/2022;7;julio;2022;asseguranáa;DP Especialistes Mireia;19.2;pagat
9;BBVA;Compte;07/07/2022;7;julio;2022;asseguranáa;DP Morts Enric;12.79;pagat
10;BBVA;Compte;07/07/2022;7;julio;2022;asseguranáa;BBVA Asseg. Casa;34.2;pagat
11;BBVA;Compte;12/07/2022;12;julio;2022;asseguranáa;Gestoria BBVA;30.0;pagat
12;BBVA;Compte;19/07/2022;19;julio;2022;despesa_general;Lowi;44.3;pagat
13;BBVA;Compte;01/08/2022;1;agosto;2022;despesa_general;Endesa;35.52;pagat
14;BBVA;Compte;02/08/2022;2;agosto;2022;despesa_general;Ocaso;22.14;pagat
15;BBVA;Compte;02/08/2022;2;agosto;2022;asseguranáa;Gestoria BBVA;30.0;pagat
16;BBVA;Compte;03/08/2022;3;agosto;2022;asseguranáa;DP MP Mireia;23.5;pagat
17;BBVA;Compte;03/08/2022;3;agosto;2022;asseguranáa;DP Especialistes Mireia;19.2;pagat
18;BBVA;Compte;03/08/2022;3;agosto;2022;asseguranáa;DP Morts Enric;12.57;pagat
19;BBVA;Compte;04/08/2022;4;agosto;2022;despesa_general;Piscina;56.0;pagat
20;BBVA;Compte;04/08/2022;4;agosto;2022;asseguranáa;BBVA Asseg. Casa;34.2;pagat
21;LaCaixa;Compte;05/08/2022;5;agosto;2022;despesa_general;Ajunt. Arb£cies;54.13;pagat
22;BBVA;Compte;08/08/2022;8;agosto;2022;despesa_general;Aigua;45.12;pagat
23;BBVA;Compte;19/08/2022;19;agosto;2022;despesa_general;Lowi;44.72;pagat
24;BBVA;Compte;31/08/2022;31;agosto;2022;despesa_general;Hipoteca;472.91;pagat
25;BBVA;Compte;31/08/2022;31;agosto;2022;despesa_general;Hipoteca;472.91;pagat
26;BBVA;Compte;02/09/2022;2;septiembre;2022;despesa_general;Ocaso;22.14;pagat
