idProducte;nom_estandard;familia;unitat;stock_actual;stock_minim;lloc;select_stock;foto_url;super_habitual;x_etiqueta;preuUnit
317;Pipes Tijuana;extres;unitat;6;2;Armari cuina;True;;Novavenda;False;1.62
95;Aletes pollastre;carn;unitat;0;0;;False;;;True;3.32
58;Festuc;fruita;unitat;0;0;;False;;AreaGuissona;True;0.0
126;Sobrassada;carn;unitat;0;0;;False;;AreaGuissona;True;0.0
60;Alls;verdura;unitat;0;0;;False;;Dia;True;0.8
10;Llet 2L;lactics;unitat;0;0;;False;;;True;0.0
85;Pèssols;verdura;unitat;0;0;;False;;;True;0.0
97;Braó porc;carn;unitat;0;0;;False;;;True;0.0
98;Botifarra blanca;carn;unitat;0;0;;False;;;True;0.0
262;Oral B;neteja;unitat;2;2;Escala;True;;Clarel;False;2.4
193;Pà ratllat;pa;unitat;0;1;Rebost;True;;Dia;True;0.0
209;Descafeinat cap.;begudes;unitat;3;2;Armari menjador;True;;LIDL;False;3.65
206;Aigua 8L;begudes;unitat;2;1;Rebost;True;;Mercadona;False;0.94
233;Altres neteja;neteja;unitat;0;0;;False;;;False;10.96
229;Beguda Civada;begudes;unitat;0;0;;False;;Dia;False;0.0
212;Cervessa 1/5;begudes;unitat;0;0;;False;;Mercadona;False;0.0
205;Aigua 5L;begudes;unitat;0;0;;False;;Dia;False;0.0
208;Cafè capsula;begudes;unitat;1;1;Armari menjador;True;;LIDL;False;0.0
149;Bacallà;peix;unitat;0;0;;False;;Dia;True;5.99
178;Bestina;peix;unitat;0;0;;False;;;True;7.41
167;Sipia;peix;unitat;0;0;;False;;Dia;True;0.0
150;Calamar;peix;unitat;0;0;;False;;;True;15.38
175;Canana;peix;unitat;0;0;;False;;;True;5.17
146;Cap de llom;carn;unitat;0;0;;False;;AreaGuissona;True;4.25
140;Carn de Kebab;carn;unitat;0;0;;False;;;True;2.9
219;Llimonada ll.;begudes;unitat;0;0;;False;;;False;0.0
138;Carpaccio;carn;unitat;0;0;;False;;Dia;True;0.93
223;Refresc;begudes;unitat;0;0;;False;;;False;0.0
133;Txurrasco;carn;unitat;0;0;;False;;;True;0.0
228;Whisky;begudes;unitat;0;0;;False;;;False;0.0
210;Cava;begudes;unitat;0;0;;False;;;False;1.5
152;Cloïses;peix;unitat;0;0;;False;;Dia;True;1.89
215;CocaCola Zero 1.5L;begudes;unitat;0;0;;False;;;False;0.8
153;Corbina;peix;unitat;0;0;;False;;;True;9.54
243;Crema facial;neteja;unitat;0;0;;False;;Clarel;False;12.59
164;Cargol punxenc;peix;unitat;0;0;;False;;;True;0.0
381;Mongetes;llaunes;unitat;2;2;Rebost;True;imatges/llaunes_mongetes.jpg;Novavenda;True;0.8
334;Lli;bàsics;unitat;3;1;Rebost;True;;Mercadona;False;1.55
189;Hojaldre;pa;unitat;4;1;Nevera;True;;AreaGuissona;True;1.24
325;Bovril;bàsics;unitat;1;1;Rebost;True;;;True;2.98
232;Abrillantador;neteja;unitat;1;1;Sota-pica;True;;Mercadona;False;1.49
288;Acondicionador;neteja;unitat;0;0;;False;;Novavenda;False;2.2
343;Puré de patata;bàsics;unitat;0;1;Rebost;True;;Dia;True;0.0
322;All Molinet;bàsics;unitat;0;0;;False;;;True;0.7
306;Altres extres;extres;unitat;0;0;;False;;;False;10.0
330;Farina d'arròs;bàsics;unitat;0;1;Rebost;True;;Mercadona;True;0.0
371;Bolets;llaunes;unitat;0;0;;False;;;True;1.59
337;Mostassa;bàsics;unitat;0;1;Rebost;True;;;True;0.0
327;Canyella;bàsics;unitat;0;0;;False;;;True;1.0
360;Ceba fregida;bàsics;unitat;0;0;;False;;;True;2.43
362;Girasol 1L;oli;unitat;2;1;Rebost;True;;Novavenda;True;1.85
272;Neteja water;neteja;unitat;0;0;;False;;Clarel;False;0.0
373;Cirera;llaunes;unitat;0;0;;False;;;True;4.29
375;Cogombres;llaunes;unitat;0;0;;False;;;True;1.39
376;Confit de ceba;llaunes;unitat;0;0;;False;;;True;2.35
302;Croquetes;congelats;unitat;0;0;;False;;;True;4.99
328;Cúrcuma;bàsics;unitat;0;0;;False;;;True;2.3
331;Farina de cigró;bàsics;unitat;0;1;Rebost;True;;Mercadona;True;1.39
378;Favada;llaunes;unitat;0;0;;False;;Dia;True;2.89
379;Frankfurt;llaunes;unitat;0;1;Rebost;True;;Mercadona;True;2.4
338;Nyora;bàsics;unitat;0;1;Rebost;True;;;True;1.3
358;Oli de coco;bàsics;unitat;0;0;;False;;;True;2.69
365;Oliva 5L;oli;unitat;4;2;Rebost;True;;;True;29.67
366;Olives verdes;oli;unitat;0;0;;False;;Dia;True;2.5
305;Pèssols;congelats;unitat;0;0;;False;;;True;0.0
363;Girasol 5L;oli;unitat;0;0;;False;;;True;0.0
483;Bolleria;pa;;1;0;;True;;;True;0.0
454;Gyozas;bàsics;unitat;0;0;;False;;Dia;True;0.0
