idTRCartera;DATA;mes;any;COMPRA;VENDA;CARTERA;CONCEPTE;COMENTARI
1;2025-12-29;diciembre;2025;20.0;;S&P500;Compra;Despessa 2€
2;2025-12-29;diciembre;2025;10.0;;NVIDIA;Compra;Despessa 1€
3;2026-01-02;enero;2026;4.26;;S&P500;CashBack;
4;2026-01-02;enero;2026;25.0;;S&P500;Compra;
5;2026-01-02;enero;2026;25.0;;NVIDIA;Compra;
6;2026-01-01;enero;2026;10.0;;Amazon;Promoció;
7;2026-02-03;febrero;2026;25.0;;S&P500;Compra;
8;2026-02-03;febrero;2026;25.0;;NVIDIA;Compra;
9;2026-02-03;febrero;2026;8.11;;S&P500;CashBack;
10;2026-03-02;marzo;2026;6.45;;S&P500;CashBack;
11;2026-03-02;marzo;2026;25.0;;S&P500;Compra;
12;2026-03-02;marzo;2026;25.0;;NVIDIA;Compra;
13;2026-04-02;abril;2026;25.0;;NVIDIA;Compra;
14;2026-04-02;abril;2026;25.0;;S&P500;Compra;
15;2026-04-02;abril;2026;7.57;;S&P500;CashBack;
16;2026-05-04;mayo;2026;25.0;;S&P500;Compra;
17;2026-05-04;mayo;2026;25.0;;NVIDIA;Compra;
18;2026-05-04;mayo;2026;6.91;;S&P500;CashBack;
19;2026-06-01;junio;2026;25.0;;NVIDIA;Compra;
20;2026-06-01;junio;2026;25.0;;S&P500;Compra;
21;2026-06-01;junio;2026;8.17;;S&P500;CashBack;
22;2026-05-07;julio;2026;25.0;0.0;S&P500;Compra;
23;2026-05-07;julio;2026;25.0;0.0;NVIDIA;Compra;
24;2026-02-07;julio;2026;6.68;0.0;S&P500;CashBack;
26;2026-08-02;agosto;2026;25.0;0.0;S&P500;Compra;
27;2026-08-06;agosto;2026;12.04;0.0;S&P500;CashBack;
25;2026-02-08;agosto;2026;25.0;0.0;NVIDIA;Compra;
28;2026-09-02;septiembre;2026;25.0;0.0;S&P500;Compra;Traspàs automàtic: Accions S&P500
29;2026-09-02;septiembre;2026;25.0;0.0;NVIDIA;Compra;Traspàs automàtic: Accions NVIDIA
30;2026-09-02;septiembre;2026;12.15;0.0;SP&500;CashBack;
